營業基金,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
臺中市附屬單位預算,,,,,,,,,,,,,,,,,,,,,,
營 業 基 金 財 務 摘 要 綜 計 表,,,,,,,,,,,,,,,,,,,,,,
,,,   單位：新臺幣百萬元,,,,,,,,,,,,,,,,,,,
項      目,本年度,上年度,比較增減數,%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
經 營 成 績 :,,,,,,,,,,,,,,,,,,,,,,
    營業總收入,427.71,219.87,207.84,94.53,,,,,,,,,,,,,,,,,,
    營業總支出,268.45,174.22,94.23,54.09,,,,,,,,,,,,,,,,,,
    純益(純損-),159.26,45.65,113.61,248.87,,,,,,,,,,,,,,,,,,
營業總收入,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
盈 虧 撥 補 :,,,,,,,,,,,,,,,,,,,,,,
    市庫分得股息紅利, - , - , - , - ,,,,,,,,,,,,,,,,,,
    留存事業機關盈餘,213.32,62.98,150.34,238.71,,,,,,,,,,,,,,,,,,
    事業機關負擔虧損, - ,10.63,-10.63,-100,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
現 金 流 量 : (附註1),,,,,,,,,,,,,,,,,,,,,,
    增加固定資產及遞耗資產,-3.42,-4.68,1.26,-26.92,,,,,,,,,,,,,,,,,,
    增加長期債務, - , - , - , - ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
    現金及約當現金淨增,222.2,120.07,102.13,85.06,,,,,,,,,,,,,,,,,,
    現金及約當現金淨減, - , - , - , - ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
財 務 狀 況 : ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
    營運資金餘額 (附註2),409.09,219.96,189.13,85.98,,,,,,,,,,,,,,,,,,
    固定資產餘額,14.01,12.96,1.05,8.1,,,,,,,,,,,,,,,,,,
    長期負債餘額, - , - , - , - ,,,,,,,,,,,,,,,,,,
    業主權益,419.58,230.34,189.24,82.16,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"附註：1.現金流量係採現金及約當現金基礎，包括現金、存放銀行同業、可自由動用之存放
               ",,,,,,,,,,,,,,,,,,,,,,
              央行及自投資日起3個月內到期或清償之債權證券。,,,,,,,,,,,,,,,,,,,,,,
            2.營運資金餘額=流動資產-流動負債。 ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
