,,,
92年度至104年度綜合所得稅實徵數及預算數統計表,,,
,,單位：新臺幣億元,
"                      金額
年度",實徵數,預算數,
92年度,"1,974.04 ","2,642.94 ",
93年度,"2,148.25 ","2,243.00 ",
94年度,"2,964.50 ","2,404.62 ",
95年度,"3,343.30 ","2,611.59 ",
96年度,"3,475.26 ","3,093.33 ",
97年度,"3,897.44 ","3,653.06 ",
98年度,"3,068.04 ","3,947.77 ",
99年度,"3,046.86 ","3,659.97 ",
100年度,"3,430.05 ","3,857.69 ",
101年度,"3,930.65 ","3,541.48 ",
102年度,"3,921.74 ","3,823.79 ",
103年度,"4,108.52 ","3,824.79 ",
104年度,"4,739.46 ","3,823.79 ",
,,製表日期：105年9月,
