year,code,amount,name,topname,depname,category,depcat,cat,ref
2015,1.1.1.1-31010010101,63596000,行政管理,縣議會主管,嘉義縣議會,一般行政,嘉義縣議會,縣議會主管,1.1.1.1
2015,1.1.1.2-31010010102,22087000,財產管理,縣議會主管,嘉義縣議會,一般行政,嘉義縣議會,縣議會主管,1.1.1.2
2015,1.1.2.1-31010010201,24315000,業務管理,縣議會主管,嘉義縣議會,議事業務,嘉義縣議會,縣議會主管,1.1.2.1
2015,1.1.2.2-31010010202,9586000,召開定期及臨,縣議會主管,嘉義縣議會,議事業務,嘉義縣議會,縣議會主管,1.1.2.2
2015,1.1.2.3-31010010203,91145000,法令研究,縣議會主管,嘉義縣議會,議事業務,嘉義縣議會,縣議會主管,1.1.2.3
2015,1.1.3.1-31010017901,1000000,第一預備金,縣議會主管,嘉義縣議會,第一預備金,嘉義縣議會,縣議會主管,1.1.3.1
2015,1.1.4.1-31010019019,6980000,其他設備,縣議會主管,嘉義縣議會,一般建築及設備,嘉義縣議會,縣議會主管,1.1.4.1
2015,2.1.1.1-32020010101,113087000,行政管理,縣政府主管,嘉義縣政府,一般行政,嘉義縣政府,縣政府主管,2.1.1.1
2015,2.1.1.2-32020010102,421000,全民防衛動員,縣政府主管,嘉義縣政府,一般行政,嘉義縣政府,縣政府主管,2.1.1.2
2015,2.1.1.3-32020010103,6078000,文書管理,縣政府主管,嘉義縣政府,一般行政,嘉義縣政府,縣政府主管,2.1.1.3
2015,2.1.1.4-32020010104,5010000,新聞宣導及公,縣政府主管,嘉義縣政府,一般行政,嘉義縣政府,縣政府主管,2.1.1.4
2015,2.1.1.5-32020010105,8809000,廳宿舍修繕,縣政府主管,嘉義縣政府,一般行政,嘉義縣政府,縣政府主管,2.1.1.5
2015,2.1.1.6-32020010106,10787000,車輛維護,縣政府主管,嘉義縣政府,一般行政,嘉義縣政府,縣政府主管,2.1.1.6
2015,2.1.1.7-32020010108,3546000,檔案管理,縣政府主管,嘉義縣政府,一般行政,嘉義縣政府,縣政府主管,2.1.1.7
2015,2.1.1.8-32020010109,9574000,事務管理,縣政府主管,嘉義縣政府,一般行政,嘉義縣政府,縣政府主管,2.1.1.8
2015,2.1.1.9-32020010110,2056000,出納管理,縣政府主管,嘉義縣政府,一般行政,嘉義縣政府,縣政府主管,2.1.1.9
2015,2.1.1.10-32020010111,10264000,綜理縣政,縣政府主管,嘉義縣政府,一般行政,嘉義縣政府,縣政府主管,2.1.1.10
2015,2.1.1.11-32020010112,169000,綜合業務,縣政府主管,嘉義縣政府,一般行政,嘉義縣政府,縣政府主管,2.1.1.11
2015,2.1.1.12-32020010113,2920000,法制訴願國家,縣政府主管,嘉義縣政府,一般行政,嘉義縣政府,縣政府主管,2.1.1.12
2015,2.1.1.13-32020010115,21584000,新聞行政,縣政府主管,嘉義縣政府,一般行政,嘉義縣政府,縣政府主管,2.1.1.13
2015,2.1.1.14-32020010116,19450000,行銷管理,縣政府主管,嘉義縣政府,一般行政,嘉義縣政府,縣政府主管,2.1.1.14
2015,2.1.2.1-32020010301,25378000,歲計,縣政府主管,嘉義縣政府,主計業務,嘉義縣政府,縣政府主管,2.1.2.1
2015,2.1.2.2-32020010302,1483000,單位預算審核,縣政府主管,嘉義縣政府,主計業務,嘉義縣政府,縣政府主管,2.1.2.2
2015,2.1.2.3-32020010303,4910000,單位會計,縣政府主管,嘉義縣政府,主計業務,嘉義縣政府,縣政府主管,2.1.2.3
2015,2.1.2.4-32020010304,362000,統計,縣政府主管,嘉義縣政府,主計業務,嘉義縣政府,縣政府主管,2.1.2.4
2015,2.1.2.5-32020010305,760000,主計行政,縣政府主管,嘉義縣政府,主計業務,嘉義縣政府,縣政府主管,2.1.2.5
2015,2.1.2.6-32020010306,351000,帳務檢查,縣政府主管,嘉義縣政府,主計業務,嘉義縣政府,縣政府主管,2.1.2.6
2015,2.1.3.1-32020010401,24280000,任免遷調,縣政府主管,嘉義縣政府,人事業務,嘉義縣政府,縣政府主管,2.1.3.1
2015,2.1.3.2-32020010402,2528000,考核獎懲,縣政府主管,嘉義縣政府,人事業務,嘉義縣政府,縣政府主管,2.1.3.2
2015,2.1.3.3-32020010406,2125000,員工福利,縣政府主管,嘉義縣政府,人事業務,嘉義縣政府,縣政府主管,2.1.3.3
2015,2.1.4.1-32020010501,20989000,政風行政,縣政府主管,嘉義縣政府,政風業務,嘉義縣政府,縣政府主管,2.1.4.1
2015,2.1.4.2-32020010502,306000,政風查處,縣政府主管,嘉義縣政府,政風業務,嘉義縣政府,縣政府主管,2.1.4.2
