year,code,amount,last_amount,name,topname,depname,depcat,category,cat,ref,comment
2017,1.1.1.1-31010010101,181770000,183199000,會務管理,高雄市議會主管,高雄市議會,高雄市議會,一般行政,高雄市議會主管,1.1.1.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費及加班費166,944千元較上年度核實減列人事費3,116千元。
2.基本行政工作維持費14,826千元，較上年度增列年終業務檢討費及健檢費等經費1,687千元。"
2017,1.1.1.2-31010010102,62641000,56300000,總務及管理,高雄市議會主管,高雄市議會,高雄市議會,一般行政,高雄市議會主管,1.1.1.2,"本年度預算數較上年度增列6,341千元，包括：
1.秘書業務預算數1,878千元，較上年度增列加班費、駐衛警制服及各項會議及工作活動等經費1,218千元。
2.文書業務預算數4,096千元，較上年度增列加班費及請柬、信封、信紙印刷及其他致贈婚喪喜慶等相關物品等經費512千元。
3.總務業務預算數55,867千元，較上年度增列桌曆行事曆筆記本等印刷、因公餽贈、拆除三溫暖、租車費等經費4,611千元。
4.台北聯絡處預算數800千元，係辦理台北聯絡處管理及維護，與上年度同。"
2017,1.1.1.3-31010010103,39970000,50070000,公共聯繫,高雄市議會主管,高雄市議會,高雄市議會,一般行政,高雄市議會主管,1.1.1.3,"本年度預算數39,970千元，較上年度減列10,100千元，包括:
1.增列趕辦業務加班費、議員訪問觀摩國內績優單位及處理救災防護或重大事件獎勵及傷亡慰問金等1,200千元。
2.減列公共聯誼費用、辦理公共聯繫等費用及聯繫新聞媒體人員等經費11,300千元。"
2017,1.1.2.1-31010010201,13098000,11414000,業務管理,高雄市議會主管,高雄市議會,高雄市議會,議事業務,高雄市議會主管,1.1.2.1,"本年度預算數13,098千元，較上年度增列經費1,684千元，包括:
1.新增法規、預算等專案研究經費2,000千元。
2.增列趕辦業務加班費20千元。
3.減列黨(政)團補助費336千元。"
2017,1.1.2.2-31010010202,53096000,42177000,召開大會,高雄市議會主管,高雄市議會,高雄市議會,議事業務,高雄市議會主管,1.1.2.2,"本年度預算數53,096千元，較上年度增列10,919千元，包括:
1.召開定期大會38,216千元，較上年度增列職員工定期大會期間加班費及寄送開會用各項文件資料等9,739千元。
2.召開臨時大會14,880千元，較上年度增列臨時會期間加班費等經費1,180千元。"
2017,1.1.2.3-31010010203,397821000,398461000,市政研究與服務,高雄市議會主管,高雄市議會,高雄市議會,議事業務,高雄市議會主管,1.1.2.3,"本年度預算數397,821千元，較上年度減列議員全民健保等相關費用等經費640千元。"
2017,1.1.2.4-31010010204,4983000,4763000,議事刊物,高雄市議會主管,高雄市議會,高雄市議會,議事業務,高雄市議會主管,1.1.2.4,"本年度預算數4,983千元，較上年度增列加班費及開會實況手語翻譯等經費220千元。"
2017,1.1.2.5-31010010205,435000,400000,法制研究,高雄市議會主管,高雄市議會,高雄市議會,議事業務,高雄市議會主管,1.1.2.5,本年度預算數435千元，較上年度增列加班費經費35千元。
2017,1.1.2.6-31010010206,6162000,5937000,資訊化管理,高雄市議會主管,高雄市議會,高雄市議會,議事業務,高雄市議會主管,1.1.2.6,"本年度預算數6,162千元，較上年度增列225千元，包括:
1.新增趕辦業務加班費85千元。
2.新增主辦106中央及地方立法機關資訊及圖書業務聯席會150千元。
3.減列資料剪貼用報章、雜誌費等10千元。"
2017,1.1.3.1-31010010301,15800000,22593000,廳舍興建與充實設備,高雄市議會主管,高雄市議會,高雄市議會,廳舍興建與充實設備,高雄市議會主管,1.1.3.1,"本年度編列項目如下：
1.辦公廳舍、庭園等零星修繕工程3,000千元。
2.行政用電腦等資訊軟硬體設備費3,200千元。
3.議事廳攝影機及相關錄控系統設備更新5,000千元。
4.各委員會會議室實況隨選視訊系統建置先期規劃費500千元。
5.圖書室圖書設備、雜項設備4,100千元。"
2017,1.1.4.1-31010017901,7000000,7000000,第一預備金,高雄市議會主管,高雄市議會,高雄市議會,第一預備金,高雄市議會主管,1.1.4.1,仍照上年度預算數編列。
2017,2.1.1.1-32020100101,209631000,210586000,行政管理,高雄市政府主管,高雄市政府秘書處,高雄市政府秘書處,一般行政,高雄市政府主管,2.1.1.1,"本年度預算數之內容與上年度之比較如下:
1.人員維持費186,780千元，較上年度核實減列人事費119千元。
2.基本行政工作維持費22,851千元，較上年度減列退休人員三節慰問金及業務助理等經費836千元。"
2017,2.1.2.1-32020100201,91995000,94202000,庶務管理,高雄市政府主管,高雄市政府秘書處,高雄市政府秘書處,事務管理,高雄市政府主管,2.1.2.1,"本年度預算數較上年度減列 2,207 千元，包括:
1.新增辦理四維行政中心電梯整修等工程2,060千元。
2.房屋建築與污水系統養護、水電、消防及保全等經費58,436千元，較上年度減列3,517千元。
3.上年度拆除危險老舊宿舍費用，預算業已編竣，所列750千元如數減列。"
2017,2.1.3.1-32020100301,12499000,9061000,文書管理,高雄市政府主管,高雄市政府秘書處,高雄市政府秘書處,文書業務,高雄市政府主管,2.1.3.1,"本年度預算數較上年度增列 3,438 千元，包括:
1.新增二代公文系統儲存設備及伺服器設備提升4,500千元。
2.文書及檔案管理相關經費7,999千元，較上年度減列232千元。
3.上年度所列中階伺服器、防竄改軟體、職工人事系統擴充案，預算業已編竣，所列830千元如數減列。"
2017,2.1.4.1-32020100401,6990000,6990000,訪賓接待聯繫業務,高雄市政府主管,高雄市政府秘書處,高雄市政府秘書處,國際事務,高雄市政府主管,2.1.4.1,"本年度預算數6,990千元，係辦理國際交流、行銷及訪賓接待經費，與上年度相同。"
2017,2.1.5.1-32020100501,4360000,4360000,處理機要,高雄市政府主管,高雄市政府秘書處,高雄市政府秘書處,機要業務,高雄市政府主管,2.1.5.1,"本年度預算數4,360千元，係處理各項機要業務暨為民服務等工作，與上年度相同。"
2017,2.1.6.1-32020107901,1100000,1100000,第一預備金,高雄市政府主管,高雄市政府秘書處,高雄市政府秘書處,第一預備金,高雄市政府主管,2.1.6.1,仍照上年度預算數編列。
2017,2.2.1.1-32020110101,87345000,86778000,行政管理,高雄市政府主管,高雄市政府主計處,高雄市政府主計處,一般行政,高雄市政府主管,2.2.1.1,"本年度預算數之內容與上年度
之比較如下：
1.人員維持費83,506千元，與上年度同。
2.基本行政工作維持費3,839千元，較上年度增列資訊軟硬體設備費及車輛相關經費等567千元。"
2017,2.2.2.1-32020110601,566000,579000,總預算編審與督導執,高雄市政府主管,高雄市政府主計處,高雄市政府主計處,總預算編審與督導執行,高雄市政府主管,2.2.2.1,本年度預算數566千元，較上年度減列印製總預算案等經費13千元。
