,,,,,,,,,,,,,,,,,,,,,,,,,
,,新北市總預算,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,經資門併計,,,,,,,,,,中華民國105年度,,,,,,,,,單位：新臺幣千元,,,,
,,科　　　　　　　　目,,,,,,,,,,,,"本年度
預算數",,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說明,,
,,款,,項,,目,,,節,,名稱及編號,,,,,,,,,,,,,,
,,01,,,,,,,,,"50100000000
新北市議會主管",,,"669,647",,"665,777",,"576,937",,"3,870",,,,,
,,,,01001,,,,,,,"　50100100000
　新北市議會",,,"669,647",,"665,777",,"576,937",,"3,870",,,,,
,,,,,,01,,,,,"　　501010010100
　　一般行政",,,"220,255",,"218,239",,"169,013",,"2,016",,,,,
,,,,,,,,,01,,"　　　5101010010101
　　　行政管理",,,"199,556",,"199,375",,"153,038",,181,,,"經常門詳1冊25-27頁
一、本預算數係行政管理之
　　經費
二、本年度預算數199,556
　　千元，包括:
　　1.人事費151,917千元
　　2.業務費47,393千元
　　3.獎補助費246千元
三、本年度較上年度增加
　　181千元，包括：
　　增列人事費1,623千元
　　減列業務費1,460千元
　　增列獎補助費18千元
",,
,,,,,,,,,02,,"　　　5101010010102
　　　財產保養",,,"20,699",,"18,864",,"15,975",,"1,835",,,"經常門詳1冊28-29頁
一、本預算數係財產保養之
　　經費
二、本年度預算數20,699
　　千元，包括:
　　1.業務費20,699千元
三、本年度較上年度增加
　　1,835千元，包括：
　　增列業務費1,835千元
",,
,,,,,,02,,,,,"　　501010010200
　　議事業務",,,"433,717",,"429,750",,"401,915",,"3,967",,,,,
,,,,,,,,,01,,"　　　5101010010201
　　　業務管理",,,"38,888",,"34,988",,"30,165",,"3,900",,,"經常門詳1冊30-31頁
一、本預算數係業務管理之
　　經費
二、本年度預算數38,888
　　千元，包括:
　　1.業務費36,800千元
　　2.獎補助費2,088千元
三、本年度較上年度增加
　　3,900千元，包括：
　　增列業務費3,900千元
",,
,,,,,,,,,02,,"　　　5101010010202
　　　召開定期會",,,"25,426",,"25,359",,"21,661",,67,,,"經常門詳1冊32頁
一、本預算數係召開定期會
　　之經費
二、本年度預算數25,426
　　千元，包括:
　　1.人事費9,932千元
　　2.業務費15,494千元
三、本年度較上年度增加
　　67千元，包括：
　　增列人事費16千元
　　增列業務費51千元
",,
,,,,,,,,,03,,"　　　5101010010203
　　　召開臨時會",,,"13,709",,"13,709",,"3,312",,,,,"經常門詳1冊33頁
一、本預算數係召開臨時會
　　之經費
",,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,新北市總預算,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,經資門併計,,,,,,,,,,中華民國105年度,,,,,,,,,單位：新臺幣千元,,,,
,,科　　　　　　　　目,,,,,,,,,,,,"本年度
預算數",,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說明,,
,,款,,項,,目,,,節,,名稱及編號,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"二、本年度預算數13,709
　　千元，包括:
　　1.人事費5,344千元
　　2.業務費8,365千元
",,
,,,,,,,,,04,,"　　　5101010010204
　　　法令研究",,,"355,694",,"355,694",,"346,776",,,,,"經常門詳1冊34頁
一、本預算數係法令研究之
　　經費
二、本年度預算數355,694
　　千元，包括:
　　1.人事費327,908千元
　　2.業務費27,786千元
",,
,,,,,,03,,,,,"　　501010010300
　　一般建築及設備",,,"13,675",,"15,788",,"6,009",,"-2,113",,,,,
,,,,,,,,,01,,"　　　5201010010301
　　　建築及設備",,,"13,675",,"15,788",,"6,009",,"-2,113",,,"資本門詳1冊35頁
汰換各組室電腦及議事資訊相關設備及辦公廳內部更新及增加、汰換設備等經費。
一、本預算數係建築及設備
　　之經費
二、本年度預算數13,675
　　千元，包括:
　　1.設備及投資
　　　13,675千元
三、本年度較上年度減少
　　2,113千元，包括：
　　減列設備及投資2,113千元
",,
,,,,,,04,,,,,"　　501010010400
　　第一預備金",,,"2,000",,"2,000",,,,,,,,,
,,,,,,,,,01,,"　　　5101010010401
　　　第一預備金",,,"2,000",,"2,000",,,,,,,"經常門詳1冊36頁
一、本預算數係第一預備金
　　之經費
二、本年度預算數2,000
　　千元，包括:
　　1.預備金2,000千元
",,
,,02,,,,,,,,,"50200000000
新北市政府主管",,,"10,670,093",,"10,662,745",,"11,040,237",,"7,348",,,,,
,,,,02101,,,,,,,"　50210100000
　新北市政府秘書處",,,"388,254",,"387,505",,"366,636",,750,,,,,
,,,,,,01,,,,,"　　502021010100
　　一般行政",,,"376,421",,"378,370",,"358,606",,"-1,948",,,,,
,,,,,,,,,03,,"　　　5102021010103
　　　一般行政",,,"376,421",,"378,370",,"358,606",,"-1,948",,,"經常門詳2-1冊18-26頁
一、本預算數係一般行政之
　　經費
二、本年度預算數376,421
　　千元，包括:
　　1.人事費137,336千元
　　2.業務費238,545千元
　　3.獎補助費540千元
三、本年度較上年度減少
　　1,948千元，包括：
　　減列業務費1,948千元
分支計畫包括：
行政管理148,625千元、廳舍管",,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,新北市總預算,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,經資門併計,,,,,,,,,,中華民國105年度,,,,,,,,,單位：新臺幣千元,,,,
,,科　　　　　　　　目,,,,,,,,,,,,"本年度
預算數",,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說明,,
,,款,,項,,目,,,節,,名稱及編號,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"理175,507千元、檔案管理17,532千元、文書管理及公報發行17,415千元、防護團編組訓練510千元、國際事務與公共關係3,980千元、機要管理12,852千元。
",,
,,,,,,08,,,,,"　　502021010800
　　一般建築及設備",,,"9,833",,"7,135",,"8,030",,"2,698",,,,,
,,,,,,,,,01,,"　　　5202021010801
　　　建築及設備",,,"9,833",,"7,135",,"8,030",,"2,698",,,"資本門詳2-1冊28頁
辦理行政大樓智慧雲端多功能電錶及電能管理系統高效率設備改善、建置檔案庫房檔案櫃及相關設備暨辦公設備零星採購等行政園區管理維護事項。
一、本預算數係建築及設備
　　之經費
二、本年度預算數9,833
　　千元，包括:
　　1.設備及投資
　　　9,833千元
三、本年度較上年度增加
　　2,698千元，包括：
　　增列設備及投資2,698千元
",,
,,,,,,09,,,,,"　　502021010900
　　第一預備金",,,"2,000",,"2,000",,,,,,,,,
,,,,,,,,,01,,"　　　5102021010901
　　　第一預備金",,,"2,000",,"2,000",,,,,,,"經常門詳2-1冊27頁
一、本預算數係第一預備金
　　之經費
二、本年度預算數2,000
　　千元，包括:
　　1.預備金2,000千元
",,
,,,,02201,,,,,,,"　50220100000
　新北市政府人事處",,,"89,632",,"88,460",,"84,153",,"1,172",,,,,
,,,,,,01,,,,,"　　502022010100
　　一般行政",,,"58,675",,"57,116",,"58,941",,"1,559",,,,,
,,,,,,,,,01,,"　　　5102022010101
　　　行政管理",,,"58,675",,"57,116",,"58,941",,"1,559",,,"經常門詳2-2冊15-17頁
一、本預算數係行政管理之
　　經費
二、本年度預算數58,675
　　千元，包括:
　　1.人事費54,867千元
　　2.業務費2,338千元
　　3.獎補助費1,470千元
三、本年度較上年度增加
　　1,559千元，包括：
　　增列人事費1,596千元
　　減列業務費37千元
",,
,,,,,,02,,,,,"　　502022010200
　　人事業務",,,"29,997",,"30,384",,"23,891",,-387,,,,,
,,,,,,,,,02,,"　　　5102022010202
　　　人事業務",,,"29,997",,"30,384",,"23,891",,-387,,,"經常門詳2-2冊18-21頁
一、本預算數係人事業務之
　　經費
二、本年度預算數29,997
",,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,新北市總預算,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,經資門併計,,,,,,,,,,中華民國105年度,,,,,,,,,單位：新臺幣千元,,,,
,,科　　　　　　　　目,,,,,,,,,,,,"本年度
預算數",,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說明,,
,,款,,項,,目,,,節,,名稱及編號,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"　　千元，包括:
　　1.人事費1,158千元
　　2.業務費28,839千元
三、本年度較上年度減少
　　387千元，包括：
　　減列業務費387千元
分支計畫包括：
組織編組及任免遷調877千元、獎懲考核及進修訓練11,633千元、退休撫卹福利待遇及資料管理2,680千元、公務人員訓練14,807千元。
",,
,,,,,,08,,,,,"　　502022010800
　　一般建築及設備",,,760,,760,,"1,322",,,,,,,
,,,,,,,,,01,,"　　　5202022010801
　　　建築及設備",,,760,,760,,"1,322",,,,,"資本門詳2-2冊23頁
辦理本市公務人員訓練班設備汰舊換新。
一、本預算數係建築及設備
　　之經費
二、本年度預算數760
　　千元，包括:
　　1.設備及投資760千元
",,
,,,,,,09,,,,,"　　502022010900
　　第一預備金",,,200,,200,,,,,,,,,
,,,,,,,,,01,,"　　　5102022010901
　　　第一預備金",,,200,,200,,,,,,,"經常門詳2-2冊22頁
一、本預算數係第一預備金
　　之經費
二、本年度預算數200
　　千元，包括:
　　1.預備金200千元
",,
