中央政府總預算案,,,,,,,,,
歲出機關別預算表,,,,,,,,,
經資門併計,,,,,中華民國106年度,,,單位：新臺幣千元,
科                               目,,,,,本年度預算數,上年度預算數,"本年度節與上年度
比                       較",說   明,
款,項,目,節,名稱及編號,,,,,
1,,,,"0002000000
總統府主管","15,639,243 ","17,010,246 ","-1,371,003 ",,
,1,,,"0002010000
總統府","967,634 ","1,114,839 ","-147,205 ",,
,,,,"3202010000
國務支出","967,634 ","1,114,839 ","-147,205 ",,
,,1,,"3202010100
一般行政","851,819 ","976,090 ","-124,271 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費634,510千元，較上年度減列
   員額10人及撥補勞工退休準備金專戶差額
   等經費52,884千元。
2.基本行政工作維持費170,390千元，較上
   年度減列府區電子圍籬暨風雷防闖警報器
   系統設備等經費22,942千元。其中電力匯
   流排更新工程計畫總經費66,000千元，分
   2年辦理，105年度已編列36,000千元，本
   年度續編最後1年經費30,000千元。
3.資訊行政工作維持費42,161千元，較上年
   度增列資訊設備、系統維護及委託專案研
   究等經費1,728千元。
4.警衛行政工作維持費4,758千元，較上年
   度減列購置服裝等經費229千元。
5.上年度辦理第十四任總統副總統辦公區域
   、寓所修繕及設備購置等預算業已編竣，
   所列49,944千元如數減列。",
,,2,,"3202010200
國務機要","30,000 ","30,000 ",0 ,"本年度預算數30,000千元，係國家元首國內
外訪視、犒賞、獎助、慰問、接待、贈禮及
其他相關經費，與上年度同。",
,,3,,"3202010300
國家慶典","17,075 ","51,612 ","-34,537 ","本年度預算數之內容與上年度之比較如下：
1.慶典佈置經費3,857千元，較上年度增列
   佈置會場等經費742千元。
2.慶典接待經費13,218千元，較上年度增列
   元旦升旗典禮等經費1,032千元。
3.上年度辦理第十四任總統副總統就職預算
   業已編竣，所列36,311千元如數減列。",
,,4,,"3202010400
研究發展","12,626 ","8,569 ","4,057 ",,
,,,1,"3202010401
國家發展研究及諮詢","12,626 ","8,569 ","4,057 ","本年度預算數之內容與上年度之比較如下：
1.國政規劃與諮詢經費8,078千元，較上年
   度增列專案議題會議幕僚作業等經費2,00
   0千元。
2.國政建言經費1,793千元，與上年度同。
3.兩岸關係與區域發展經費2,755千元，較
   上年度增列出國考察及參與研討會等經費
   2,057千元。",
,,5,,"3202010500
新聞發布","11,366 ","11,417 ",-51 ,"本年度預算數11,366千元，係辦理新聞聯繫
與發布所需經費，較上年度減列辦理相關新
聞活動等經費51千元。",
,,6,,"3202010600
卸任禮遇","25,255 ","27,321 ","-2,066 ","本年度預算數之內容與上年度之比較如下：
1.第九任卸任總統禮遇經費8,590千元，與
   上年度同。
2.第十三任卸任總統禮遇經費10,590千元，
   較上年度增列禮遇金及保健醫療費用等經
   費379千元。
3.第十三任卸任副總統禮遇經費6,075千元
   ，較上年度增列禮遇金及保健醫療費用等
   經費490千元。
4.上年度第十一任及第十二任卸任副總統禮
   遇預算業已編竣，所列2,935千元如數減
   列。",
,,7,,"3202010800
公報編印及印信勳章鑄造","9,220 ","7,757 ","1,463 ","本年度預算數之內容與上年度之比較如下：
1.公報編印經費508千元，較上年度減列公
   報印刷等經費57千元。
2.印信鑄造頒發經費2,809千元，較上年度
   增列各機關印信製(換)發經費1,470千元
   。
3.勳章製作及敬老事宜經費5,903千元，較
   上年度增列製作勳章等經費50千元。",
,,8,,"3202019000
一般建築及設備","8,200 ",-,"8,200 ",,
,,,1,"3202019011
交通及運輸設備","8,200 ",-,"8,200 ",新增汰換副禮車2輛經費如列數。,
,,9,,"3202019800
第一預備金","2,073 ","2,073 ",0 ,仍照上年度預算數編列。,
,2,,,"0002100000
國家安全會議","200,775 ","200,775 ",0 ,,
,,,,"3202100000
國務支出","200,775 ","200,775 ",0 ,,
