,,,,,,,,
科　　　　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","本年度與
上年度比較",說　　　　　　　　明
款,項,目,節,名　稱　及　編　號,,,,
01,,,,"00010000000
高雄市議會主管","782,776","782,314",462,
,001,,,"　00010010000
　高雄市議會","782,776","782,314",462,
,,01,,"　　31010010100
　　一般行政","284,381","289,569","-5,188",
,,,01,"　　　31010010101
　　　會務管理","181,770","183,199","-1,429","本年度預算數之內容與上年度之比較如下：
1.人員維持費及加班費166,944千元較上年度核實減列人事費3,116千元。
2.基本行政工作維持費14,826千元，較上年度增列年終業務檢討費及健檢費等經費1,687千元。
　"
,,,02,"　　　31010010102
　　　總務及管理","62,641","56,300","6,341","本年度預算數較上年度增列6,341千元，包括：
1.秘書業務預算數1,878千元，較上年度增列加班費、駐衛警制服及各項會議及工作活動等經費1,218千元。
2.文書業務預算數4,096千元，較上年度增列加班費及請柬、信封、信紙印刷及其他致贈婚喪喜慶等相關物品等經費512千元。
3.總務業務預算數55,867千元，較上年度增列桌曆行事曆筆記本等印刷、因公餽贈、拆除三溫暖、租車費等經費4,611千元。
4.台北聯絡處預算數800千元，係辦理台北聯絡處管理及維護，與上年度同。
　"
,,,03,"　　　31010010103
　　　公共聯繫","39,970","50,070","-10,100","本年度預算數39,970千元，較上年度減列10,100千元，包括:
1.增列趕辦業務加班費、議員訪問觀摩國內績優單位及處理救災防護或重大事件獎勵及傷亡慰問金等1,200千元。
2.減列公共聯誼費用、辦理公共聯繫等費用及聯繫新聞媒體人員等經費11,300千元。
　"
,,02,,"　　31010010200
　　議事業務","475,595","463,152","12,443",
,,,01,"　　　31010010201
　　　業務管理","13,098","11,414","1,684","本年度預算數13,098千元，較上年度增列經費1,684千元，包括:
1.新增法規、預算等專案研究經費2,000千元。
2.增列趕辦業務加班費20千元。
3.減列黨(政)團補助費336千元。
　"
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,02,"　　　31010010202
　　　召開大會","53,096","42,177","10,919","本年度預算數53,096千元，較上年度增列10,919千元，包括:
1.召開定期大會38,216千元，較上年度增列職員工定期大會期間加班費及寄送開會用各項文件資料等9,739千元。
2.召開臨時大會14,880千元，較上年度增列臨時會期間加班費等經費1,180千元。
　"
,,,03,"　　　31010010203
　　　市政研究與服務","397,821","398,461",-640,"本年度預算數397,821千元，較上年度減列議員全民健保等相關費用等經費640千元。
　"
,,,04,"　　　31010010204
　　　議事刊物","4,983","4,763",220,"本年度預算數4,983千元，較上年度增列加班費及開會實況手語翻譯等經費220千元。
　"
,,,05,"　　　31010010205
　　　法制研究",435,400,35,"本年度預算數435千元，較上年度增列加班費經費35千元。
　"
,,,06,"　　　31010010206
　　　資訊化管理","6,162","5,937",225,"本年度預算數6,162千元，較上年度增列225千元，包括:
1.新增趕辦業務加班費85千元。
2.新增主辦106中央及地方立法機關資訊及圖書業務聯席會150千元。
3.減列資料剪貼用報章、雜誌費等10千元。
　"
,,03,,"　　31010010300
　　廳舍興建與充實設備","15,800","22,593","-6,793",
,,,01,"　　　31010010301
　　　廳舍興建與充實設備","15,800","22,593","-6,793","本年度編列項目如下：
1.辦公廳舍、庭園等零星修繕工程3,000千元。
2.行政用電腦等資訊軟硬體設備費3,200千元。
3.議事廳攝影機及相關錄控系統設備更新5,000千元。
4.各委員會會議室實況隨選視訊系統建置先期規劃費500千元。
5.圖書室圖書設備、雜項設備4,100千元。
　"
,,04,,"　　31010017900
　　第一預備金","7,000","7,000",-,
,,,01,"　　　31010017901
　　　第一預備金","7,000","7,000",-,"仍照上年度預算數編列。
　"
02,,,,"00020000000
高雄市政府主管","6,326,762","6,131,142","195,620",
,001,,,"　00020100000
　高雄市政府秘書處","326,575","326,299",276,
　,　,　,　,　,　,　,　,　
,,01,,"　　32020100100
　　一般行政","209,631","210,586",-955,
,,,01,"　　　32020100101
　　　行政管理","209,631","210,586",-955,"本年度預算數之內容與上年度之比較如下:
1.人員維持費186,780千元，較上年度核實減列人事費119千元。
2.基本行政工作維持費22,851千元，較上年度減列退休人員三節慰問金及業務助理等經費836千元。
　"
,,02,,"　　32020100200
　　事務管理","91,995","94,202","-2,207",
,,,01,"　　　32020100201
　　　庶務管理","91,995","94,202","-2,207","本年度預算數較上年度減列 2,207 千元，包括:
1.新增辦理四維行政中心電梯整修等工程2,060千元。
2.房屋建築與污水系統養護、水電、消防及保全等經費58,436千元，較上年度減列3,517千元。
3.上年度拆除危險老舊宿舍費用，預算業已編竣，所列750千元如數減列。
　"
,,03,,"　　32020100300
　　文書業務","12,499","9,061","3,438",
,,,01,"　　　32020100301
　　　文書管理","12,499","9,061","3,438","本年度預算數較上年度增列 3,438 千元，包括:
1.新增二代公文系統儲存設備及伺服器設備提升4,500千元。
2.文書及檔案管理相關經費7,999千元，較上年度減列232千元。
3.上年度所列中階伺服器、防竄改軟體、職工人事系統擴充案，預算業已編竣，所列830千元如數減列。
　"
,,04,,"　　32020100400
　　國際事務","6,990","6,990",-,
,,,01,"　　　32020100401
　　　訪賓接待聯繫業務","6,990","6,990",-,"本年度預算數6,990千元，係辦理國際交流、行銷及訪賓接待經費，與上年度相同。
　"
,,05,,"　　32020100500
　　機要業務","4,360","4,360",-,
,,,01,"　　　32020100501
　　　處理機要","4,360","4,360",-,"本年度預算數4,360千元，係處理各項機要業務暨為民服務等工作，與上年度相同。
　"
,,06,,"　　32020107900
　　第一預備金","1,100","1,100",-,
,,,01,"　　　32020107901
　　　第一預備金","1,100","1,100",-,"仍照上年度預算數編列。
　"
,002,,,"　00020110000
　高雄市政府主計處","95,393","94,842",551,
,,01,,"　　32020110100
　　一般行政","87,345","86,778",567,
,,,01,"　　　32020110101
　　　行政管理","87,345","86,778",567,"本年度預算數之內容與上年度
之比較如下：
1.人員維持費83,506千元，與上年度同。
2.基本行政工作維持費3,839千元，較上年度增列資訊軟硬體設備費及車輛相關經費等567千元。
　"
,,02,,"　　32020110600
　　總預算編審與督導執行",566,579,-13,
,,,01,"　　　32020110601
　　　總預算編審與督導執
　　　行",566,579,-13,"本年度預算數566千元，較上年度減列印製總預算案等經費13千元。
　"
,,03,,"　　32020110700
　　事業預算編審與督導執
　　行",289,291,-2,
,,,01,"　　　32020110701
　　　事業預算編審與督導
　　　執行",289,291,-2,"本年度預算數289千元，較上年度減列召開預算審核會議相關經費2千元。
　"
,,04,,"　　32020110800
　　會計與決算",749,476,273,
,,,01,"　　　32020110801
　　　會計與決算",749,476,273,"本年度預算數749千元，較上年度增列縣市預算會計系統上線輔導等經費273千元。
　"
,,05,,"　　32020110900
　　公務統計",392,392,-,
,,,01,"　　　32020110901
　　　公務統計",392,392,-,"本年度預算數392千元，係辦理各項公務統計作業經費，與上年度同。
　"
,,06,,"　　32020111000
　　經濟統計","5,996","6,270",-274,
,,,01,"　　　32020111001
　　　經濟統計","5,996","6,270",-274,"本年度預算數較上年度減列274千元，包括：
1.物價調查與統計分析經費3,586千元，較上年度增列物價調查等經費45千元。
2.民間經濟活動調查2,410千元，較上年度減列家庭收支記帳調查戶數等經費319千元。
　"
,,07,,"　　32020117900
　　第一預備金",56,56,-,
,,,01,"　　　32020117901
　　　第一預備金",56,56,-,"仍照上年度預算數編列。
　"
,003,,,"　00020120000
　高雄市政府人事處","157,242","157,109",133,
,,01,,"　　32020120100
　　一般行政","81,361","80,783",578,
