,,,,,,,,,,,,,,,,,,,,,,,,,
,,縣議會主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,01,,,,,,,,"00010000000
縣議會主管",,"223,489",,,"218,709",,"180,122",,"4,780",,,,,,
,,,,001,,,,,,"　00010010000
　嘉義縣議會",,"223,489",,,"218,709",,"180,122",,"4,780",,,,,,
,,,,,,01,,,,"　　31010010100
　　一般行政",,"86,396",,,"85,683",,"66,046",,713,,,,,,
,,,,,,,,01,,"　　　31010010101
　　　行政管理",,"65,142",,,"63,596",,"53,433",,"1,546",,,"一、本科目包括行政管理
二、本年度預算數包括:
　　人事費46,766千元
　　業務費18,286千元
　　獎補助費90千元
三、本年度預算數與上年度比較：
　　增加 1,546千元
　　增列 人事費611千元
　　增列 業務費917千元
　　增列 獎補助費18千元
四、本科目增減項目如下：
1.增列人員晉級薪津及獎金等611千元。
2.增列臨時技工酬金等990千元。
3.增列法律諮詢顧問費60千元。
4.增列主管人員健康檢查費71千元。
5.增列退休人員年節慰問金18千元。
6.減列法令書籍費85千元。
7.減列議政新聞、委託採訪等相關業務經費119千元。
",,,
,,,,,,,,02,,"　　　31010010102
　　　財產管理",,"21,254",,,"22,087",,"12,613",,-833,,,"一、本科目包括財產管理
二、本年度預算數包括:
　　業務費21,254千元
三、本年度預算數與上年度比較：
　　減少 833千元
　　減列 業務費833千元
四、本科目增減項目如下：
1.增列網路數據月租費28千元。
2.增列廳舍清潔費等605千元。
3.依基準增列辦公室翻修費23千元。
4.依基準增列公務車輛養護費10千元。
5.減列接送公務考察專案小組等公務車租賃租金12千元。
6.依基準減列公務車輛汽油費87千元。
7.減列第18屆議員多媒體簡介及光碟製作900千元。
8.減列資料館議員資料更新及正副議長交趾陶製作500千元。
",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,000 - 1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,縣議會主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,,,,,02,,,,"　　31010010200
　　議事業務",,"127,513",,,"125,046",,"111,260",,"2,467",,,,,,
,,,,,,,,01,,"　　　31010010201
　　　業務管理",,"26,357",,,"24,315",,"20,849",,"2,042",,,"一、本科目包括業務管理
二、本年度預算數包括:
　　業務費25,829千元
　　獎補助費528千元
三、本年度預算數與上年度比較：
　　增加 2,042千元
　　增列 業務費2,042千元
四、本科目增減項目如下:
1.增列辦理正副議長聯誼會活動經費2,000千元。
2.依編列基準增列議事運作經費52千元。
3.減列各級學校畢業生贈品經費10千元。
",,,
,,,,,,,,02,,"　　　31010010202
　　　召開定期及臨
　　　時大會",,"9,586",,,"9,586",,"8,845",,-,,,"一、本科目包括召開定期及臨時大會
二、本年度預算數包括:
　　人事費3,581千元
　　業務費6,005千元
",,,
,,,,,,,,03,,"　　　31010010203
　　　法令研究",,"91,570",,,"91,145",,"81,566",,425,,,"一、本科目包括法令研究
二、本年度預算數包括:
　　人事費91,570千元
三、本年度預算數與上年度比較：
　　增加 425千元
　　增列 人事費425千元
四、本科目增減項目如下：
增列議員助理勞健保費等425千元。
",,,
,,,,,,03,,,,"　　31010017900
　　第一預備金",,"1,000",,,"1,000",,-,,-,,,,,,
,,,,,,,,01,,"　　　31010017901
　　　第一預備金",,"1,000",,,"1,000",,-,,-,,,"一、本科目包括第一預備金
二、本年度預算數包括:
　　預備金1,000千元
三、依據預算法第22條規定辦理
",,,
