,,,,,,,,,,,,,,,,,,,,,,,,,
,,縣政府主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,02,,,,,,,,"00020000000
縣政府主管",,"13,359,568",,,"11,328,226",,"11,033,184",,"2,031,342",,,,,,
,,,,001,,,,,,"　00020010000
　嘉義縣政府",,"13,359,568",,,"11,328,226",,"11,033,184",,"2,031,342",,,,,,
,,,,,,01,,,,"　　32020010100
　　一般行政",,"217,907",,,"213,755",,"186,728",,"4,152",,,,,,
,,,,,,,,01,,"　　　32020010101
　　　行政管理",,"113,087",,,"113,087",,"98,816",,-,,,"一、本科目包括行政管理
二、本年度預算數包括:
　　人事費93,402千元
　　業務費18,125千元
　　獎補助費1,560千元
三、本科目增減項目如下：
1.減列物品0.8千元。
2.增列一般事務費0.8千元。
",,,
,,,,,,,,02,,"　　　32020010102
　　　全民防衛動員
　　　準備業務",,"1,421",,,421,,478,,"1,000",,,"一、本科目包括全民防衛動員準備業務
二、本年度預算數包括:
　　人事費12千元
　　業務費1,359千元
　　獎補助費50千元
三、本年度預算數與上年度比較：
　　增加 1,000千元
　　增列 業務費1,000千元
四、本科目增減項目如下：
增列一般事務費1,000千元。
",,,
,,,,,,,,03,,"　　　32020010103
　　　文書管理",,"6,078",,,"6,078",,"5,471",,-,,,"一、本科目包括文書管理
二、本年度預算數包括:
　　人事費48千元
　　業務費6,030千元
",,,
,,,,,,,,04,,"　　　32020010104
　　　新聞宣導及公
　　　共關係",,"5,759",,,"5,010",,"4,327",,749,,,"一、本科目包括新聞宣導及公共關係
二、本年度預算數包括:
　　人事費120千元
　　業務費5,020千元
　　獎補助費619千元
三、本年度預算數與上年度比較：
　　增加 749千元
　　增列 人事費40千元
　　增列 業務費709千元
四、本科目增減項目如下：
1.增列加班值班費40千元。
2.增列水電費50千元。
3.減列通訊費201千元。
4.減列臨時人員酬金40千元。
5.增列委辦費150千元。
6.增列一般事務費350千元。
7.增列設施及機械設備養護費400千元。
",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,000 - 1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,縣政府主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,,,,,,,05,,"　　　32020010105
　　　廳宿舍修繕",,"9,279",,,"8,809",,"6,306",,470,,,"一、本科目包括廳宿舍修繕
二、本年度預算數包括:
　　業務費9,279千元
三、本年度預算數與上年度比較：
　　增加 470千元
　　增列 業務費470千元
四、本科目增減項目如下：
1.減列保險費130千元。
2.增列臨時人員酬金130千元。
3.減列按日按件計資酬金130千元。
4.增列房屋建築養護費600千元。
",,,
,,,,,,,,06,,"　　　32020010106
　　　車輛維護",,"9,507",,,"10,787",,"8,769",,"-1,280",,,"一、本科目包括車輛維護
二、本年度預算數包括:
　　業務費9,507千元
三、本年度預算數與上年度比較：
　　減少 1,280千元
　　減列 業務費1,280千元
四、本科目增減項目如下：
1.減列稅捐及規費120.65千元。 
2.減列保險費19.21千元。
3.減列物品995.52千元。
4.減列車輛及辦公器具養護費144.62千元。
",,,
,,,,,,,,07,,"　　　32020010108
　　　檔案管理",,"3,446",,,"3,546",,"1,891",,-100,,,"一、本科目包括檔案管理
二、本年度預算數包括:
　　人事費5千元
　　業務費3,441千元
三、本年度預算數與上年度比較：
　　減少 100千元
　　減列 業務費100千元
四、本科目增減項目如下：
1.減列物品12千元。
2.減列一般事務費100千元。
3.增列設施及機械設備養護費12千元。
",,,
,,,,,,,,08,,"　　　32020010109
　　　事務管理",,"9,905",,,"9,574",,"8,498",,331,,,"一、本科目包括事務管理
二、本年度預算數包括:
　　人事費2千元
　　業務費9,903千元
三、本年度預算數與上年度比較：
　　增加 331千元
　　增列 業務費331千元
四、本科目增減項目如下：
增列臨時人員酬金331千元。
",,,
,,,,,,,,09,,"　　　32020010110
　　　出納管理",,"2,056",,,"2,056",,"1,897",,-,,,"一、本科目包括出納管理
二、本年度預算數包括:
　　人事費21千元
　　業務費2,035千元
",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,000 - 2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,縣政府主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,,,,,,,10,,"　　　32020010111
　　　綜理縣政",,"10,264",,,"10,264",,"8,259",,-,,,"一、本科目包括綜理縣政
二、本年度預算數包括:
　　人事費2,040千元
　　業務費8,224千元
",,,
,,,,,,,,11,,"　　　32020010112
　　　綜合業務",,169,,,169,,138,,-,,,"一、本科目包括綜合業務
二、本年度預算數包括:
　　人事費13千元
　　業務費156千元
",,,
,,,,,,,,12,,"　　　32020010113
　　　法制訴願國家
　　　賠償處理",,"2,990",,,"2,920",,977,,70,,,"一、本科目包括法制訴願國家賠償處理
二、本年度預算數包括:
　　人事費106千元
　　業務費884千元
　　獎補助費2,000千元
三、本年度預算數與上年度比較：
　　增加 70千元
　　增列 業務費70千元
四、本科目增減項目如下：
增列其他業務租金70千元。
",,,
,,,,,,,,13,,"　　　32020010115
　　　新聞行政",,"21,496",,,"21,584",,"20,911",,-88,,,"一、本科目包括新聞行政
二、本年度預算數包括:
　　人事費18,058千元
　　業務費2,609千元
　　獎補助費829千元
三、本年度預算數與上年度比較：
　　減少 88千元
　　減列 業務費67千元
　　減列 獎補助費21千元
四、本科目增減項目如下：
1.減列通訊費120千元。
2.增列其他業務租金36千元。
3.減列臨時人員酬金198千元(中央補助款)。
4.增列物品25千元(中央補助款)。
5.增列一般事務費190千元(中央補助款)。
6.減列對國內團體之捐助21千元(中央補助款)。
",,,
,,,,,,,,14,,"　　　32020010116
　　　行銷管理",,"22,450",,,"19,450",,"19,990",,"3,000",,,"一、本科目包括行銷管理
二、本年度預算數包括:
　　人事費652千元
　　業務費21,798千元
三、本年度預算數與上年度比較：
　　增加 3,000千元
　　增列 業務費3,000千元
四、本科目增減項目如下：
增列一般事務費3,000千元。
",,,
,,,,,,02,,,,"　　32020010300
　　主計業務",,"33,244",,,"33,244",,"28,513",,-,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,000 - 3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,縣政府主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,,,,,,,01,,"　　　32020010301
　　　歲計",,"25,378",,,"25,378",,"21,891",,-,,,"一、本科目包括歲計
二、本年度預算數包括:
　　人事費24,000千元
　　業務費1,378千元
",,,
,,,,,,,,02,,"　　　32020010302
　　　單位預算審核",,"1,483",,,"1,483",,"1,360",,-,,,"一、本科目包括單位預算審核
二、本年度預算數包括:
　　人事費182千元
　　業務費1,301千元
",,,
,,,,,,,,03,,"　　　32020010303
　　　單位會計",,"4,910",,,"4,910",,"4,258",,-,,,"一、本科目包括單位會計
二、本年度預算數包括:
　　人事費100千元
　　業務費4,810千元
",,,
,,,,,,,,04,,"　　　32020010304
　　　統計",,362,,,362,,212,,-,,,"一、本科目包括統計
二、本年度預算數包括:
　　人事費10千元
　　業務費352千元
",,,
,,,,,,,,05,,"　　　32020010305
　　　主計行政",,760,,,760,,542,,-,,,"一、本科目包括主計行政
二、本年度預算數包括:
　　人事費120千元
　　業務費640千元
",,,
,,,,,,,,06,,"　　　32020010306
　　　帳務檢查",,351,,,351,,250,,-,,,"一、本科目包括帳務檢查
二、本年度預算數包括:
　　人事費50千元
　　業務費301千元
",,,
,,,,,,03,,,,"　　32020010400
　　人事業務",,"28,933",,,"28,933",,"23,980",,-,,,,,,
,,,,,,,,01,,"　　　32020010401
　　　任免遷調",,"24,280",,,"24,280",,"20,480",,-,,,"一、本科目包括任免遷調
二、本年度預算數包括:
　　人事費23,229千元
　　業務費1,051千元
",,,
,,,,,,,,02,,"　　　32020010402
　　　考核獎懲",,"2,528",,,"2,528",,"1,804",,-,,,"一、本科目包括考核獎懲
二、本年度預算數包括:
　　人事費326千元
　　業務費2,202千元
",,,
,,,,,,,,03,,"　　　32020010406
　　　員工福利",,"2,125",,,"2,125",,"1,696",,-,,,"一、本科目包括員工福利
二、本年度預算數包括:
　　人事費114千元
　　業務費1,841千元
　　獎補助費170千元
",,,
,,,,,,04,,,,"　　32020010500
　　政風業務",,"21,997",,,"21,997",,"15,645",,-,,,,,,
,,,,,,,,01,,"　　　32020010501
　　　政風行政",,"20,989",,,"20,989",,"14,762",,-,,,"一、本科目包括政風行政
二、本年度預算數包括:
　　人事費20,481千元
　　業務費508千元",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,000 - 4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,縣政府主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,,,,,,,02,,"　　　32020010502
　　　政風查處",,306,,,306,,161,,-,,,"一、本科目包括政風查處
二、本年度預算數包括:
　　人事費4千元
　　業務費302千元
",,,
,,,,,,,,03,,"　　　32020010503
　　　政風預防",,702,,,702,,722,,-,,,"一、本科目包括政風預防
二、本年度預算數包括:
　　人事費1千元
　　業務費701千元
",,,
,,,,,,05,,,,"　　32020010600
　　施政計畫綜合業
　　務",,"72,165",,,"51,162",,"47,361",,"21,003",,,,,,
,,,,,,,,01,,"　　　32020010601
　　　計畫行政",,"27,869",,,"27,869",,"24,439",,-,,,"一、本科目包括計畫行政
二、本年度預算數包括:
　　人事費27,000千元
　　業務費869千元
",,,
,,,,,,,,02,,"　　　32020010602
　　　研究發展",,895,,,895,,"3,271",,-,,,"一、本科目包括研究發展
二、本年度預算數包括:
　　人事費20千元
　　業務費875千元
三、本年度預算數與上年度比較：
　　減列 人事費25千元
　　增列 業務費25千元
四、本科目增減項目如下:
1.減列獎金25千元。
2.增列一般事務費25千元。
",,,
,,,,,,,,03,,"　　　32020010603
　　　管制考核",,"2,117",,,"2,024",,"1,876",,93,,,"一、本科目包括管制考核
二、本年度預算數包括:
　　人事費8千元
　　業務費2,109千元
三、本年度預算數與上年度比較：
　　增加 93千元
　　增列 業務費93千元
四、本科目增減項目如下：
1.減列資訊服務費60千元。
2.增列保險費93千元。
3.減列物品30千元。
4.增列國內旅費90千元。
",,,
,,,,,,,,04,,"　　　32020010604
　　　綜合規劃",,"20,400",,,"1,600",,"1,914",,"18,800",,,"一、本科目包括綜合規劃
二、本年度預算數包括:
　　業務費20,100千元
　　獎補助費300千元
三、本年度預算數與上年度比較：
　　增加 18,800千元
　　增列 業務費18,800千元
四、本科目增減項目如下:
1.增列土地租金15,000千元。
2.增列委辦費3,372千元。
3.增列一般事務費200千元。
4.增列國內旅費228千元。
",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,000 - 5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,縣政府主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
