,,,,,,,,,,,,,,,,,,,,,,,,,
,,地政處主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,04,,,,,,,,"00040000000
地政處主管",,"260,089",,,"254,713",,"241,239",,"5,376",,,,,,
,,,,001,,,,,,"　00040010000
　嘉義縣朴子地政事
　務所",,"73,232",,,"72,099",,"68,638",,"1,133",,,,,,
,,,,,,01,,,,"　　33040010100
　　一般行政",,"66,223",,,"66,217",,"62,536",,6,,,,,,
,,,,,,,,01,,"　　　33040010101
　　　行政管理",,"64,135",,,"64,135",,"60,633",,-,,,"一、本科目包括行政管理
二、本年度預算數包括:
　　人事費63,658千元
　　業務費357千元
　　獎補助費120千元
",,,
,,,,,,,,02,,"　　　33040010102
　　　所務管理",,"2,088",,,"2,082",,"1,903",,6,,,"一、本科目包括所務管理
二、本年度預算數包括:
　　業務費2,088千元
三、本年度預算數與上年度比較：
　　增加 6千元
　　增列 業務費6千元
四、本科目增減項目如下：
1.減列房屋建築養護費85千元。
2.增列稅捐及規費16千元。
3.增列一般事務費66千元。
4.增列車輛及辦公器具養護費9千元。
",,,
,,,,,,02,,,,"　　33040010900
　　地政業務",,"5,739",,,"5,642",,"4,860",,97,,,,,,
,,,,,,,,01,,"　　　33040010918
　　　平均地權重新
　　　規定地價及市
　　　價徵收",,256,,,282,,68,,-26,,,"一、本科目包括平均地權重新規定地價及市價徵收
二、本年度預算數包括:
　　人事費20千元
　　業務費236千元
三、本年度預算數與上年度比較：
　　減少 26千元
　　減列 業務費26千元
四、本科目增減項目如下：
減列設施及機械設備養護費26千元。
",,,
,,,,,,,,02,,"　　　33040010921
　　　推行土地及建
　　　築物登記革新
　　　作業",,"1,814",,,"1,691",,"1,476",,123,,,"一、本科目包括推行土地及建築物登記革新作業
二、本年度預算數包括:
　　人事費168千元
　　業務費1,646千元
三、本年度預算數與上年度比較：
　　增加 123千元
　　增列 業務費123千元
四、本科目增減項目如下：
增列資訊服務費123千元。
",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,000 - 1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,地政處主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,,,,,,,03,,"　　　33040010922
　　　土地複丈及勘
　　　查",,"1,561",,,"1,561",,"1,449",,-,,,"一、本科目包括土地複丈及勘查
二、本年度預算數包括:
　　人事費461千元
　　業務費1,100千元
",,,
,,,,,,,,04,,"　　　33040010924
　　　編製土地現值
　　　表及空地查定",,"1,634",,,"1,634",,"1,456",,-,,,"一、本科目包括編製土地現值表及空地查定
二、本年度預算數包括:
　　人事費58千元
　　業務費1,576千元
",,,
,,,,,,,,05,,"　　　33040010927
　　　非都市土地使
　　　用管制",,474,,,474,,411,,-,,,"一、本科目包括非都市土地使用管制
二、本年度預算數包括:
　　人事費25千元
　　業務費449千元
",,,
,,,,,,03,,,,"　　33040019000
　　一般建築及設備",,"1,270",,,240,,"1,242",,"1,030",,,,,,
,,,,,,,,01,,"　　　33040019019
　　　其他設備",,"1,270",,,240,,"1,242",,"1,030",,,"一、本科目包括其他設備
二、本年度預算數包括:
　　設備及投資1,270千元
三、本年度預算數與上年度比較：
　　增加 1,030千元
　　增列 設備及投資1,030千元
四、本科目項目如下：
1.全測站測距經緯儀320千元。
2.印表機、win 2008 ser、個人電腦及地政服務網頁整合850千元。
3.飲水機100千元。
",,,
,,,,002,,,,,,"　00040020000
　嘉義縣大林地政事
　務所",,"68,519",,,"67,302",,"64,688",,"1,217",,,,,,
,,,,,,01,,,,"　　33040020100
　　一般行政",,"61,319",,,"61,499",,"57,967",,-180,,,,,,
,,,,,,,,01,,"　　　33040020101
　　　行政管理",,"59,520",,,"60,050",,"56,586",,-530,,,"一、本科目包括行政管理
二、本年度預算數包括:
　　人事費59,005千元
　　業務費377千元
　　獎補助費138千元
三、本年度預算數與上年度比較：
　　減少 530千元
　　減列 人事費548千元
　　增列 獎補助費18千元
四、本科目增減項目如下：
1.減列法定編制人員待遇261千元。
2.減列獎金180千元。
3.減列加班值班費19千元。
4.減列其他給與16千元。
5.減列保險費72千元。
6.增列退休人員三節慰問金18千",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,000 - 2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,地政處主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"元。
",,,
,,,,,,,,02,,"　　　33040020102
　　　所務管理",,"1,799",,,"1,449",,"1,381",,350,,,"一、本科目包括所務管理
二、本年度預算數包括:
　　業務費1,799千元
三、本年度預算數與上年度比較：
　　增加 350千元
　　增列 業務費350千元
四、本科目增減項目如下：
1.增列臨時人員酬金120千元。
2.增列通訊費160千元。
3.增列稅捐及規費17千元。
4.增列保險費3千元。
5.增列油料費42千元。
6.增列車輛養護費8千元。
",,,
,,,,,,02,,,,"　　33040020900
　　地政業務",,"5,635",,,"5,703",,"5,024",,-68,,,,,,
,,,,,,,,01,,"　　　33040020918
　　　平均地權重新
　　　規定地價及市
　　　價徵收",,222,,,230,,39,,-8,,,"一、本科目包括平均地權重新規定地價及市價徵收
二、本年度預算數包括:
　　人事費20千元
　　業務費202千元
三、本年度預算數與上年度比較：
　　減少 8千元
　　減列 人事費4千元
　　減列 業務費4千元
四、本科目增減項目如下：
1.減列加班值班費4千元。
2.減列物品4千元。
",,,
,,,,,,,,02,,"　　　33040020921
　　　推行土地及建
　　　築物登記革新
　　　作業",,"1,962",,,"2,022",,"1,820",,-60,,,"一、本科目包括推行土地及建築物登記革新作業
二、本年度預算數包括:
　　人事費136千元
　　業務費1,826千元
三、本年度預算數與上年度比較：
　　減少 60千元
　　減列 業務費60千元
四、本科目增減項目如下：
1.減列通訊費160千元。
2.增列資訊服務費100千元。
",,,
,,,,,,,,03,,"　　　33040020922
　　　土地複丈及勘
　　　查",,"1,586",,,"1,586",,"1,491",,-,,,"一、本科目包括土地複丈及勘查
二、本年度預算數包括:
　　人事費412千元
　　業務費1,174千元
",,,
,,,,,,,,04,,"　　　33040020924
　　　編製土地現值
　　　表及空地查定",,"1,406",,,"1,406",,"1,265",,-,,,"一、本科目包括編製土地現值表及空地查定
二、本年度預算數包括:
　　人事費100千元
　　業務費1,306千元",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,000 - 3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,地政處主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,,,,,,,05,,"　　　33040020927
　　　非都市土地使
　　　用管制",,459,,,459,,409,,-,,,"一、本科目包括非都市土地使用管制
二、本年度預算數包括:
　　人事費12千元
　　業務費447千元
",,,
,,,,,,03,,,,"　　33040029000
　　一般建築及設備",,"1,565",,,100,,"1,697",,"1,465",,,,,,
