,,,,,,,,,,,,,,,,,,,,,,,,,
,,消防局主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,05,,,,,,,,"00050000000
消防局主管",,"658,874",,,"608,097",,"572,132",,"50,777",,,,,,
,,,,001,,,,,,"　00050010000
　嘉義縣消防局",,"658,874",,,"608,097",,"572,132",,"50,777",,,,,,
,,,,,,01,,,,"　　33050010100
　　一般行政",,"549,604",,,"518,220",,"490,766",,"31,384",,,,,,
,,,,,,,,01,,"　　　33050010101
　　　行政管理",,"549,604",,,"518,220",,"490,766",,"31,384",,,"一、本科目包括行政管理
二、本年度預算數包括:
　　人事費531,945千元
　　業務費17,269千元
　　獎補助費390千元
三、本年度預算數與上年度比較：
　　增加 31,384千元
　　增列 人事費30,954千元
　　增列 業務費430千元
四、本科目增減項目如下：
1.增列法定編制人員待遇19,464千元。
2.增列獎金4,477千元。
3.增列其他給與400千元。
4.增列加班值班費1,505千元。
5.增列退休離職儲金3,500千元。
6.增列保險1,608千元。
7.增列水電費420千元。
8.減列通訊費840千元。
9.增列稅捐及規費71千元。
10.增列物品891千元。
11.減列房屋建築養護費200千元。
12.增列設施及機械設備養護費88千元。
",,,
,,,,,,02,,,,"　　33050011100
　　消防業務",,"45,690",,,"42,688",,"35,001",,"3,002",,,,,,
,,,,,,,,01,,"　　　33050011101
　　　火災預防",,"1,276",,,"1,984",,"1,436",,-708,,,"一、本科目包括火災預防
二、本年度預算數包括:
　　業務費1,108千元
　　獎補助費168千元
三、本年度預算數與上年度比較：
　　減少 708千元
　　減列 業務費514千元
　　減列 獎補助費194千元
四、本科目增減項目如下：
1.減列其他業務租金60千元。
2.減列按日按件計資酬金7千元。
3.減列物品477千元。
4.增列一般事務費45千元。
5.減列運費15千元。
6.減列獎勵及慰問50千元。
7.減列其他補助及捐助144千元。
",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,000 - 1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,消防局主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,,,,,,,02,,"　　　33050011102
　　　災害搶救",,"28,725",,,"28,264",,"22,981",,461,,,"一、本科目包括災害搶救
二、本年度預算數包括:
　　業務費23,504千元
　　獎補助費5,221千元
三、本年度預算數與上年度比較：
　　增加 461千元
　　減列 業務費1,239千元
　　增列 獎補助費1,700千元
四、本科目增減項目如下：
1.減列稅捐及規費15千元。
2.減列保險費69千元。
3.減列物品2,264千元。
4.增列一般事務費750千元。
5.減列車輛及辦公器具養護費565千元。
6.增列設施及機械設備養護費924千元。
7.增列對國內團體之捐助1,700千元。
",,,
,,,,,,,,03,,"　　　33050011103
　　　緊急救護",,"2,319",,,"2,114",,"1,963",,205,,,"一、本科目包括緊急救護
二、本年度預算數包括:
　　業務費2,091千元
　　獎補助費228千元
三、本年度預算數與上年度比較：
　　增加 205千元
　　增列 業務費205千元
四、本科目增減項目如下:
增列一般事務費205千元。
",,,
,,,,,,,,04,,"　　　33050011105
　　　火災調查",,130,,,130,,109,,-,,,"一、本科目包括火災調查
二、本年度預算數包括:
　　業務費130千元
",,,
,,,,,,,,05,,"　　　33050011106
　　　指揮業務",,"4,782",,,744,,591,,"4,038",,,"一、本科目包括指揮業務
二、本年度預算數包括:
　　業務費4,782千元
三、本年度預算數與上年度比較：
　　增加 4,038千元
　　增列 業務費4,038千元
四、本科目增減項目如下：
1.增列通訊費852千元。
2.增列資訊服務費2,570千元。
3.增列其他業務租金6千元。
4.增列稅捐及規費100千元。
5.增列物品160千元。
6.增列設施及機械設備養護費350千元。
",,,
,,,,,,,,06,,"　　　33050011108
　　　災害管理",,"5,975",,,674,,236,,"5,301",,,"一、本科目包括災害管理
二、本年度預算數包括:
　　業務費5,973千元
　　獎補助費2千元
三、本年度預算數與上年度比較：
　　增加 5,301千元
",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,000 - 2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,消防局主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"　　增列 業務費5,301千元
四、本科目增減項目如下：
1.增列按日按件計資酬金40千元。
2.增列委辦費5,018千元。
3.增列一般事務費238千元。
4.增列國內旅費5千元。
",,,
,,,,,,,,07,,"　　　33050011109
　　　督察訓練",,"1,838",,,"1,888",,"1,720",,-50,,,"一、本科目包括督察訓練
二、本年度預算數包括:
　　業務費1,818千元
　　獎補助費20千元
三、本年度預算數與上年度比較：
　　減少 50千元
　　減列 業務費50千元
四、本科目增減項目如下:
減列一般事務費50千元。
",,,
,,,,,,,,08,,"　　　33050011110
　　　防災企劃",,-,,,"6,890",,"5,965",,"-6,890",,,"一、本科目包括防災企劃
二、本年度預算數0千元
三、本年度預算數與上年度比較：
　　減少 6,890千元
　　減列 業務費6,890千元
四、本科目增減項目如下：
1.減列資訊服務費1,550千元。
2.減列稅捐及規費100千元。
3.減列按日按件計資酬金40千元。
4.減列委辦費4,562千元。
5.減列物品160千元。
6.減列一般事務費123千元。
7.減列設施及機械設備養護費350千元。
8.減列國內旅費5千元。
",,,
,,,,,,,,09,,"　　　33050011113
　　　危險物品管理",,645,,,-,,-,,645,,,"一、本科目包括危險物品管理
二、本年度預算數包括:
　　業務費463千元
　　獎補助費182千元
三、本年度預算數與上年度比較：
　　增加 645千元
　　增列 業務費463千元
　　增列 獎補助費182千元
四、本科目增減項目如下：
1.增列通訊費40千元。
2.增列其他業務租金96千元。
3.增列按日按件計資酬金39千元。
4.增列物品12千元。
5.增列一般事務費241千元。
6.增列設施及機械設備養護費5千元。
7.增列運費30千元。
8.增列獎勵及慰問50千元。
9.增列其他補助及捐助132千元。
",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,000 - 3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,消防局主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,,,,,03,,,,"　　33050019000
　　一般建築及設備",,"63,580",,,"47,189",,"46,365",,"16,391",,,,,,
