,,,,,,,,,,,,,,,,,,,,,,,,,
,,農業處主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,06,,,,,,,,"00080000000
農業處主管",,"69,082",,,"49,771",,"44,325",,"19,311",,,,,,
,,,,001,,,,,,"　00080010000
　嘉義縣家畜疾病防
　治所",,"69,082",,,"49,771",,"44,325",,"19,311",,,,,,
,,,,,,01,,,,"　　58080010100
　　一般行政",,"34,284",,,"34,445",,"31,177",,-161,,,,,,
,,,,,,,,01,,"　　　58080010101
　　　行政管理",,"32,281",,,"32,281",,"29,311",,-,,,"一、本科目包括行政管理
二、本年度預算數包括:
　　人事費31,803千元
　　業務費328千元
　　獎補助費150千元
三、本科目增減項目如下：
1.減列臨時人員酬金60千元。
2.增列一般事務費60千元。
",,,
,,,,,,,,02,,"　　　58080010102
　　　所務管理",,"2,003",,,"2,164",,"1,866",,-161,,,"一、本科目包括所務管理
二、本年度預算數包括:
　　業務費2,003千元
三、本年度預算數與上年度比較：
　　減少 161千元
　　減列 業務費161千元
四、本科目增減項目如下：
1.減列水電費1千元。
2.減列稅捐及規費2千元。
3.減列保險費3千元。
4.減列物品146千元。
5.減列房屋建築養護費90千元。
6.增列車輛及辦公器具養護費81千元。
",,,
,,,,,,02,,,,"　　58080013300
　　家畜防疫",,"13,768",,,"13,576",,"13,148",,192,,,,,,
,,,,,,,,01,,"　　　58080013301
　　　中動物保健及
　　　疾病防治",,"2,218",,,"2,450",,"2,844",,-232,,,"一、本科目包括中動物保健及疾病防治
二、本年度預算數包括:
　　人事費20千元
　　業務費2,178千元
　　獎補助費20千元
三、本年度預算數與上年度比較：
　　減少 232千元
　　減列 業務費232千元
四、本科目增減項目如下：
1.減列物品233千元。
2.增列國內旅費1千元。
",,,
,,,,,,,,02,,"　　　58080013302
　　　水產動物疾病
　　　防疫",,"1,254",,,"1,349",,"1,276",,-95,,,"一、本科目包括水產動物疾病防疫
二、本年度預算數包括:
　　人事費10千元
　　業務費1,244千元
三、本年度預算數與上年度比較：
　　減少 95千元
",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,000 - 1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,農業處主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
