,,,,,,,,,,,,,,,,,,,,,,,,,
,,環境保護局主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,08,,,,,,,,"00120000000
環境保護局主管",,"245,846",,,"181,899",,"197,717",,"63,947",,,,,,
,,,,001,,,,,,"　00120010000
　嘉義縣環境保護局",,"245,846",,,"181,899",,"197,717",,"63,947",,,,,,
,,,,,,01,,,,"　　73120010100
　　一般行政",,"46,050",,,"45,511",,"40,605",,539,,,,,,
,,,,,,,,01,,"　　　73120010101
　　　行政管理",,"40,218",,,"39,567",,"35,521",,651,,,"一、本科目包括行政管理
二、本年度預算數包括:
　　人事費39,782千元
　　業務費400千元
　　獎補助費36千元
三、本年度預算數與上年度比較：
　　增加 651千元
　　增列 人事費575千元
　　增列 業務費70千元
　　增列 獎補助費6千元
四、本科目增減項目如下︰
1.增列法定編制人員待遇504千元。
2.增列技工及工友待遇12千元。
3.減列獎金5.2千元。
4.減列加班值班費99千元。
5.增列保險163.2千元。
6.增列物品10.5千元。
7.增列一般事務費59.5千元。
8.增列獎勵及慰問6千元。
",,,
,,,,,,,,02,,"　　　73120010102
　　　局務管理",,"5,832",,,"5,944",,"5,084",,-112,,,"一、本科目包括局務管理
二、本年度預算數包括:
　　人事費42千元
　　業務費5,790千元
三、本年度預算數與上年度比較：
　　減少 112千元
　　減列 業務費112千元
四、本科目增減項目如下︰
1.減列水電費10.8千元。
2.增列資訊服務費0.4千元。
3.增列保險費0.562千元。
4.減列物品106.413千元。
5.增列車輛及辦公器具養護費4.251千元。
",,,
,,,,,,02,,,,"　　73120015200
　　環保業務",,"58,699",,,"71,951",,"76,101",,"-13,252",,,,,,
,,,,,,,,01,,"　　　73120015201
　　　環境管理綜合
　　　計畫",,"1,125",,,"1,039",,896,,86,,,"一、本科目包括環境管理綜合計畫
二、本年度預算數包括:
　　人事費22千元
　　業務費684千元
　　獎補助費419千元
三、本年度預算數與上年度比較：
　　增加 86千元
",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,000 - 1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,環境保護局主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"　　增列 獎補助費86千元
四、本科目增減項目如下︰
增列對特種基金之補助86千元。
",,,
,,,,,,,,02,,"　　　73120015202
　　　空氣及噪音防
　　　制",,319,,,319,,"3,278",,-,,,"一、本科目包括空氣及噪音防制
二、本年度預算數包括:
　　人事費2千元
　　業務費317千元
三、本科目增減項目如下︰
1.減列教育訓練費6千元。
2.減列按日按件計資酬金6千元。
3.增列物品33千元。
4.減列一般事務費9千元。
5.減列設施及機械設備養護費10千元。
6.減列運費2千元。
",,,
