,,,,,,,,,,,,,,,,,,,,,,,,,
,,警察局主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,09,,,,,,,,"00130000000
警察局主管",,"2,039,458",,,"1,999,021",,"1,857,837",,"40,437",,,,,,
,,,,001,,,,,,"　00130010000
　嘉義縣警察局",,"2,039,458",,,"1,999,021",,"1,857,837",,"40,437",,,,,,
,,,,,,01,,,,"　　77130010100
　　一般行政",,"1,925,077",,,"1,890,644",,"1,760,543",,"34,433",,,,,,
,,,,,,,,01,,"　　　77130010101
　　　行政管理",,"11,098",,,"11,098",,"9,323",,-,,,"一、本科目包括行政管理
二、本年度預算數包括:
　　業務費11,098千元
",,,
,,,,,,,,02,,"　　　77130010102
　　　業務管理",,"1,844,594",,,"1,812,420",,"1,692,923",,"32,174",,,"一、本科目包括業務管理
二、本年度預算數包括:
　　人事費1,818,895千元
　　業務費25,699千元
三、本年度預算數與上年度比較：
　　增加 32,174千元
　　增列 人事費32,174千元
四、本科目增減項目如下：
1.增列法定編制人員待遇5,086千元。
2.增列加班值班費1,710千元。
3.增列退休離職儲金31,403千元。
4.增列保險1,304千元。
5.增列物品253千元。
6.減列技工及工友待遇1,248千元。
7.減列獎金5,985千元。
8.減列其他給與96千元。
9.減列一般事務費2千元。
10.減列設施及機械設備養護費251千元。
",,,
,,,,,,,,03,,"　　　77130010103
　　　車輛及廳舍維
　　　護",,"57,309",,,"56,159",,"49,770",,"1,150",,,"一、本科目包括車輛及廳舍維護
二、本年度預算數包括:
　　人事費0千元
　　業務費57,309千元
三、本年度預算數與上年度比較：
　　增加 1,150千元
　　減列 人事費12千元
　　增列 業務費1,162千元
四、本科目增減項目如下：
1.增列水電費75千元。
2.增列通訊費1,202千元。
3.增列物品50千元。
4.減列獎金12千元。
5.減列稅捐及規費40千元。
6.減列房屋建築養護費125千元。
",,,
