,,,,,,,,,,,,,,,,,,,,,,,,,
,,財政稅務局主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,10,,,,,,,,"00140000000
財政稅務局主管",,"831,250",,,"836,386",,"567,685",,"-5,136",,,,,,
,,,,001,,,,,,"　00140010000
　嘉義縣財政稅務局",,"831,250",,,"836,386",,"567,685",,"-5,136",,,,,,
,,,,,,01,,,,"　　34140010100
　　一般行政",,"168,736",,,"170,577",,"161,973",,"-1,841",,,,,,
,,,,,,,,01,,"　　　34140010101
　　　行政管理",,"168,736",,,"170,577",,"161,973",,"-1,841",,,"一、本科目包括行政管理
二、本年度預算數包括:
　　人事費151,519千元
　　業務費16,467千元
　　獎補助費750千元
三、本年度預算數與上年度比較：
　　減少 1,841千元
　　減列 人事費1,716千元
　　減列 業務費35千元
　　減列 獎補助費90千元
四、本科目增減項目如下：
1.減列約聘僱人員待遇816千元、技工及工友待遇402千元、獎金224千元、其他給與48千元、退休離職儲金60千元、保險152千元、加班費14千元。
2.減列水電費84千元。
3.增列其他業務租金97千元。
4.減列稅捐及規費6千元。
5.增列保險費1千元。
6.減列物品42千元。
7.增列一般事務費98千元。
8.增列房屋建築養護費50千元。
9.減列車輛及辦公器具養護費34千元。
10.減列設施及機械設備養護費113千元。
11.減列國內旅費2千元。
12.減列獎補助費90千元。
",,,
,,,,,,02,,,,"　　34140011200
　　財政及公產業務",,"16,046",,,"19,829",,"16,435",,"-3,783",,,,,,
,,,,,,,,01,,"　　　34140011201
　　　財務收支管理",,"1,912",,,"1,912",,"1,448",,-,,,"一、本科目包括財務收支管理
二、本年度預算數包括:
　　人事費250千元
　　業務費1,662千元
",,,
,,,,,,,,02,,"　　　34140011202
　　　監督鄉鎮財政",,120,,,120,,68,,-,,,"一、本科目包括監督鄉鎮財政
二、本年度預算數包括:
　　人事費44千元
　　業務費76千元
",,,
,,,,,,,,03,,"　　　34140011204
　　　財產管理",,735,,,675,,504,,60,,,"一、本科目包括財產管理
二、本年度預算數包括:
　　人事費14千元
",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,000 - 1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,財政稅務局主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"　　業務費721千元
三、本年度預算數與上年度比較：
　　增加 60千元
　　增列 業務費60千元
四、本科目增減項目如下：
1.減列保費40千元。
2.增列一般事務費100千元。
",,,
,,,,,,,,04,,"　　　34140011205
　　　公有房地出售",,554,,,514,,408,,40,,,"一、本科目包括公有房地出售
二、本年度預算數包括:
　　人事費14千元
　　業務費540千元
三、本年度預算數與上年度比較：
　　增加 40千元
　　增列 業務費40千元
四、本科目增減項目如下：
增列一般事務費40千元。
",,,
,,,,,,,,05,,"　　　34140011206
　　　公有房地清查",,566,,,566,,467,,-,,,"一、本科目包括公有房地清查
二、本年度預算數包括:
　　人事費39千元
　　業務費527千元
",,,
,,,,,,,,06,,"　　　34140011207
　　　庫款集中支付
　　　作業及管理",,773,,,803,,631,,-30,,,"一、本科目包括庫款集中支付作業及管理
二、本年度預算數包括:
　　人事費103千元
　　業務費670千元
三、本年度預算數與上年度比較：
　　減少 30千元
　　減列 業務費30千元
四、本科目增減項目如下：
減列臨時人員酬金30千元。
",,,
