,,,,,,,,,,,,,,,,,,,,,,,,,
,,社會局主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,11,,,,,,,,"00150000000
社會局主管",,"2,887,541",,,"2,770,491",,"2,582,067",,"117,050",,,,,,
,,,,001,,,,,,"　00150010000
　嘉義縣社會局",,"2,887,541",,,"2,770,491",,"2,582,067",,"117,050",,,,,,
,,,,,,01,,,,"　　66150010200
　　社會保險",,"98,882",,,"98,729",,"90,382",,153,,,,,,
,,,,,,,,01,,"　　　66150010201
　　　社會保險",,"98,882",,,"98,729",,"90,382",,153,,,"一、本科目包括社會保險
二、本年度預算數包括:
　　獎補助費98,882千元
三、本年度預算數與上年度比較：
　　增加 153千元
　　增列 獎補助費153千元
四、本科目增減項目如下：
增列社會保險負擔153千元。
",,,
,,,,,,02,,,,"　　67150014200
　　社政業務",,"137,651",,,"148,026",,"115,640",,"-10,375",,,,,,
,,,,,,,,01,,"　　　67150014206
　　　社會救助",,"136,362",,,"146,737",,"115,431",,"-10,375",,,"一、本科目包括社會救助
二、本年度預算數包括:
　　人事費112千元
　　業務費5,562千元
　　獎補助費130,688千元
三、本年度預算數與上年度比較：
　　減少 10,375千元
　　減列 獎補助費10,375千元
四、本科目增減項目如下：
1.增列按日按件計資酬金10千元。
2.減列一般事務費35千元。
3.增列國內旅費25千元。
4.減列對地方政府之補助550千元。
5.減列對國內團體之捐助50千元。
6.減列社會福利津貼及濟助9,775千元。
",,,
,,,,,,,,02,,"　　　67150014207
　　　社會救助金後
　　　續計畫",,"1,289",,,"1,289",,209,,-,,,"一、本科目包括社會救助金後續計畫
二、本年度預算數包括:
　　人事費36千元
　　業務費753千元
　　獎補助費500千元
三、本科目增減項目如下：
1.減列一般事務費50千元。
2.增列國內旅費50千元。
",,,
,,,,,,03,,,,"　　68150010100
　　一般行政",,"103,100",,,"99,619",,"68,907",,"3,481",,,,,,
,,,,,,,,01,,"　　　68150010101
　　　行政管理",,"103,100",,,"99,619",,"68,907",,"3,481",,,"一、本科目包括行政管理
二、本年度預算數包括:
　　人事費92,756千元
",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,000 - 1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,社會局主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"　　業務費10,314千元
　　獎補助費30千元
三、本年度預算數與上年度比較：
　　增加 3,481千元
　　增列 人事費3,554千元
　　減列 業務費73千元
四、本科目增減項目如下：
1.增列法定編制人員待遇2,376千元。
2.增列獎金495千元。
3.增列其他給與48千元。
4.增列加班值班費105.8千元。
5.增列退休離職儲金267.6千元。
6.增列保險261.6千元。
7.增列資訊服務費250千元。
8.減列稅捐及規費17.41千元。
9.減列保險費2.483千元。
10.減列物品100.58千元。
11.增列一般事務費112.473千元。
12.減列房屋建築養護費281千元。
13.減列車輛及辦公器具養護費34千元。
",,,
,,,,,,04,,,,"　　68150014200
　　社政業務",,"2,518,476",,,"2,398,914",,"2,289,641",,"119,562",,,,,,
,,,,,,,,01,,"　　　68150014201
　　　社會行政",,"10,980",,,"13,280",,"9,895",,"-2,300",,,"一、本科目包括社會行政
二、本年度預算數包括:
　　人事費30千元
　　業務費405千元
　　獎補助費10,545千元
三、本年度預算數與上年度比較：
　　減少 2,300千元
　　減列 獎補助費2,300千元
四、本科目增減項目如下：
減列對國內團體之捐助2,300千元。
",,,
,,,,,,,,02,,"　　　68150014202
　　　老人與社會福
　　　利",,"780,581",,,"773,931",,"744,206",,"6,650",,,"一、本科目包括老人與社會福利
二、本年度預算數包括:
　　人事費1,241千元
　　業務費33,227千元
　　獎補助費746,113千元
三、本年度預算數與上年度比較：
　　增加 6,650千元
　　增列 人事費4千元
　　減列 業務費2,492千元
　　增列 獎補助費9,138千元
四、本科目增減項目如下:
1.增列加班值班費4千元。
2.增列按日按件計資酬金34千元。
3.減列委辦費2,538千元。
4.增列物品12千元。
5.增列對地方政府之補助806千元。
",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,000 - 2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,社會局主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
