,,,,,,,,,,,,,,,,,,,,,,,,,
,,文化觀光局主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,12,,,,,,,,"00160000000
文化觀光局主管",,"284,166",,,"289,372",,"302,238",,"-5,206",,,,,,
,,,,001,,,,,,"　00160010000
　嘉義縣文化觀光局",,"236,059",,,"245,161",,"259,397",,"-9,102",,,,,,
,,,,,,01,,,,"　　53160012200
　　文教活動",,"60,646",,,"80,227",,"59,413",,"-19,581",,,,,,
,,,,,,,,01,,"　　　53160012202
　　　藝文推廣",,"49,343",,,"68,935",,"52,923",,"-19,592",,,"一、本科目包括藝文推廣
二、本年度預算數包括:
　　人事費1,954千元
　　業務費31,538千元
　　獎補助費15,851千元
三、本年度預算數與上年度比較：
　　減少 19,592千元
　　減列 人事費10千元
　　減列 業務費10,493千元
　　減列 獎補助費9,089千元
四、本科目增減項目如下：
1.減列加班值班費10千元。
2.減列水電費54千元。
3.減列通訊費66千元。
4.減列車輛相關費用108千元。
5.增列委辦費5,000千元。
6.減列一般事務費15,325千元。
7.增列國內旅費60千元。
8.減列對地方政府之補助3,799千元。
9.減列對國內團體之捐助5,290千元。
",,,
,,,,,,,,02,,"　　　53160012203
　　　文化資產",,"11,303",,,"11,292",,"6,490",,11,,,"一、本科目包括文化資產
二、本年度預算數包括:
　　人事費34千元
　　業務費11,269千元
三、本年度預算數與上年度比較：
　　增加 11千元
　　增列 業務費11千元
四、本科目增減項目如下：
1.增列水電費48千元。
2.減列通訊費34千元。
3.減列委辦費3千元。
",,,
,,,,,,02,,,,"　　53160018900
　　文化建築及設備",,"57,921",,,"22,978",,"59,343",,"34,943",,,,,,
,,,,,,,,01,,"　　　53160018901
　　　其他設備",,"57,921",,,"22,978",,"59,343",,"34,943",,,"一、本科目包括其他設備
二、本年度預算數包括:
　　業務費0千元
　　設備及投資47,521千元
　　獎補助費10,400千元
三、本年度預算數與上年度比較：
　　增加 34,943千元
　　減列 業務費150千元
",,,
