,,,,,,,,,,,,,,,,,,,,,,,,,
,,人事處主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,13,,,,,,,,"00170000000
人事處主管",,"18,600",,,"18,018",,"15,261",,582,,,,,,
,,,,001,,,,,,"　00170010000
　嘉義縣人力發展所",,"18,600",,,"18,018",,"15,261",,582,,,,,,
,,,,,,01,,,,"　　32170010100
　　一般行政",,"15,905",,,"15,958",,"13,530",,-53,,,,,,
,,,,,,,,01,,"　　　32170010101
　　　行政管理",,"15,905",,,"15,958",,"13,530",,-53,,,"一、本科目包括行政管理
二、本年度預算數包括:
　　人事費7,940千元
　　業務費7,965千元
三、本年度預算數與上年度比較：
　　減少 53千元
　　減列 業務費53千元
四、本科目增減項目如下：
1.減列水電費750千元。
2.增列資訊服務費64千元。
3.減列稅捐及規費6千元。
4.增列兼職費36千元。
5.減列物品8千元。
6.減列一般事務費140千元。
7.減列房屋建築養護費64千元。
8.減列車輛及辦公器具養護費39千元。
9.增列設施及機械設備養護費750千元。
10.增列國內旅費104千元。
",,,
,,,,,,02,,,,"　　32170010700
　　人力發展業務",,"1,760",,,"1,760",,"1,481",,-,,,,,,
,,,,,,,,01,,"　　　32170010701
　　　公教研習業務",,"1,760",,,"1,760",,"1,481",,-,,,"一、本科目包括公教研習業務
二、本年度預算數包括:
　　人事費38千元
　　業務費1,722千元
三、本科目增減項目如下：
1.增列按日按件計資酬金192千元。
2.減列一般事務費312千元。
3.增列國內旅費120千元。
",,,
,,,,,,03,,,,"　　32170019000
　　一般建築及設備",,935,,,300,,250,,635,,,,,,
,,,,,,,,01,,"　　　32170019019
　　　其他設備",,935,,,300,,250,,635,,,"一、本科目包括其他設備
二、本年度預算數包括:
　　設備及投資935千元
三、本年度預算數與上年度比較：
　　增加 635千元
　　增列 設備及投資635千元
四、本科目項目如下：
1.廳舍、場地、公共空間等維護20千元。
",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,000 - 1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,人事處主管,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"2.機械、通訊、儀器等40千元。
3.一般公務轎車635千元。
4.應用系統等相關費用100千元。
5.研習、訓練及辦公設備等140千元。
",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,000 - 2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
