,,,,,,,,,,,,,,,,,,,,,,,,,
,,統籌支撥科目,,,,,,,,,,,,,,,,,,,,,,,
,,歲出機關別預算表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,中華民國105年度,,,,,,,,,,單位：新臺幣千元,,
,,科　　　　　　　　 　目,,,,,,,,,,"本年度
預算數",,,"上年度
預算數",,"前年度
決算數",,"本年度與
上年度比較",,,說　　明,,,
,,款,,項,,目,,節,,名稱及編號,,,,,,,,,,,,,,,
,,14,,,,,,,,"00700000000
統籌支撥科目",,"1,368,675",,,"3,494,267",,"3,690,188",,"-2,125,592",,,,,,
,,,,001,,,,,,"　00700020000
　公務人員退休給付",,"959,901",,,"2,984,148",,"3,296,451",,"-2,024,247",,,,,,
,,,,,,01,,,,"　　75700026100
　　公務人員退休給
　　付",,"959,901",,,"2,984,148",,"3,296,451",,"-2,024,247",,,,,,
,,,,,,,,01,,"　　　75700026101
　　　公務人員退休
　　　金",,"959,901",,,"792,270",,"868,437",,"167,631",,,"一、本科目包括公務人員退休金
二、本年度預算數包括:
　　人事費708,401千元
　　獎補助費251,500千元
三、本年度預算數與上年度比較：
　　增加 167,631千元
　　增列 人事費172,631千元
　　減列 獎補助費5,000千元
",,,
,,,,,,,,02,,"　　　75700026102
　　　教育人員退休
　　　金",,-,,,"2,191,878",,"2,428,014",,"-2,191,878",,,"一、本科目包括教育人員退休金
二、本年度預算數0千元
三、本年度預算數與上年度比較：
　　減少 2,191,878千元
　　減列 獎補助費2,191,878千元
四、移列至嘉義縣政府單位預算。
",,,
,,,,002,,,,,,"　00700030000
　公務人員撫卹給付",,"26,774",,,"42,919",,"19,201",,"-16,145",,,,,,
,,,,,,01,,,,"　　75700036200
　　公務人員撫卹給
　　付",,"26,774",,,"42,919",,"19,201",,"-16,145",,,,,,
,,,,,,,,01,,"　　　75700036201
　　　公務人員撫卹
　　　金",,"26,774",,,"21,660",,"11,662",,"5,114",,,"一、本科目包括公務人員撫卹金
二、本年度預算數包括:
　　人事費26,774千元
三、本年度預算數與上年度比較：
　　增加 5,114千元
　　增列 人事費5,114千元
",,,
,,,,,,,,02,,"　　　75700036202
　　　教育人員撫卹
　　　金",,-,,,"21,259",,"7,539",,"-21,259",,,"一、本科目包括教育人員撫卹金
二、本年度預算數0千元
三、本年度預算數與上年度比較：
　　減少 21,259千元
　　減列 獎補助費21,259千元
四、移列至嘉義縣政府單位預算。
",,,
,,,,003,,,,,,"　00700040000
　公務人員各項補助",,"85,000",,,"195,000",,"151,048",,"-110,000",,,,,,
,,,,,,01,,,,"　　89700047300
　　公務人員各項補
　　助",,"85,000",,,"195,000",,"151,048",,"-110,000",,,,,,
