高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
科目,,,,,,,"本年度
 預算數","上年度
 預算數","本 年 度
 與上年度
 比    較",說               明
款,項,目,節,,,名 稱 及 編 號,,,,
10,,,,10000,,衛生局主管," 	1,725,238 "," 	1,736,867 ","-	11,629 ",
,1,,,10001,,衛生局," 	1,725,238 "," 	1,736,867 ","-	11,629 ",
,,1,,,780100,一般行政," 	288,149 "," 	301,358 ","-	13,209 ",
,,,1,,780101,行政管理," 	288,149 "," 	301,358 ","-	13,209 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費269,961千元，
  較上年度核實減列人事費
  14,494千元。
2.基本行政工作維持費18,188
  千元，較上年度增列購置車
  輛等經費1,285千元。"
,,11,,,781200,衛生業務," 	731,757 "," 	795,226 ","-	63,469 ",
,,,1,,781202,醫政業務," 	499,202 "," 	526,022 ","-	26,820 ","本年度預算數較上年度減列
26,820千元，包括：
1.一般業務1,998千元，較上
  年度增列六年一次醫事人
  員執照更新等相關經費80
  千元。
2.原住民醫療保健業務11,671
  千元，較上年度增列原民區
  衛生所醫療設備等經費
  5,527千元。
3.市立醫院管理370,049千元
  ，較上年度減列對市立醫院
  市民就醫補助等經費
  24,340千元。
4.老人裝置假牙計畫114,091
  千元，較上年度減列7,635
  千元。
5.緊急醫療救護業務1,246千
  元，較上年度減列臨時人員
  酬金等經費452千元。"
,,,2,,781203,藥政業務," 	2,459 "," 	2,463 ",-	4 ,"本年度預算數2,459千元，較
上年度減列一般事務費等經費
4千元。"
,,,3,,781206,食品衛生業務," 	12,330 "," 	15,466 ","-	3,136 ","本年度預算數較上年度減列
3,136千元，包括：
1.一般業務2,917千元，較上
  度增列提撥衛生福利部食品
  安全保護基金583千元。
2.食品衛生管理提升計畫
  9,413千元，較上年度增列
  臨時人員酬金等經費538千
  元。
3.上年度辦理加強市售食品衛
  生安全專案計畫預算業已編
  竣，所列4,257千元如數減
  列。"
,,,4,,781204,健康管理業務," 	75,657 "," 	118,982 ","-	43,325 ","本年度預算數較上年度減列
43,325千元，包括：
1.營業及職業衛生管理6,330
  千元，較上年度增列工業區
  流行病學調查及檢查計畫
  1,600千元。
2.綜合保健計畫59,371千元，
  較上年度減列臨時人員酬金
  及65歲以上老人健康檢查費
  等經費6,487千元。
3.癌症防治計畫3,676千元，
  較上年度減列臨時人員酬金
  及一般事務費等經費13,768
  千元。
4.健康促進計畫972千元，較
  上年度減列臨時人員酬金及
  一般事務費等經費7,134千
  元。
5.菸害防制計畫5,308千元，
  較上年度減列臨時人員酬金
  及一般事務費等經費17,536
  千元。"
,,,5,,781201,長期照護業務," 	61,700 "," 	55,372 "," 	6,328 ","本年度預算數較上年度增列
6,328千元，包括：
1.服務資源業務35,336千元，
  較上年度增列醫療輔具補助
  及身心障礙鑑定費用等
  3,927千元。
2.照顧管理業務26,364千元，
  較上年度增列長照服務量能
  提升計畫等經費2,401千元。"
,,,6,,781207,檢驗業務," 	22,767 "," 	26,112 ","-	3,345 ","本年度預算數較上年度減列
3,345千元，包括：
1.強化食品藥物化粧品安全實
  驗室網絡及地方檢驗量能計
  畫7,725千元，較上年度增
  列檢驗儀器設備等經費
  4,105千元。
2.一般業務15,042千元，較上
  年度減列建構本市食品安全
  工作計畫經費7,450千元。"
,,,7,,781205,社區心衛中心業務," 	54,356 "," 	48,663 "," 	5,693 ","本年度預算數較上年度增列
5,693千元，包括：
1.一般業務21,161千元，較上
  年度增列毒品危害防制工作
  計畫經費3,960千元。
2.整合型心理健康促進、精神
  疾病防治及特殊族群處遇工
  作計畫17,880千元，較上年
  度增列臨時人員酬金等經費
  1,677千元。
3.強化藥癮者輔導處遇計畫
  15,315千元，較上年度增列
  臨時人員酬金等經費56千元
  。"
,,,8,,781208,企劃業務," 	3,286 "," 	2,146 "," 	1,140 ","本年度預算數3,286千元，較
上年度增列全國醫療資訊網防
毒軟體及登革熱防治疫情整合
系統等經費1,140千元。"
,,12,,,781300,防疫業務," 	130,117 "," 	109,897 "," 	20,220 ",
,,,1,,781301,防疫工作," 	130,117 "," 	109,897 "," 	20,220 ","本年度預算數較上年度增列
20,220千元，包括：
1.各項預防接種及傳染病防治
  業務80,726千元，較上年度
  增列設施設備養護費等經費
  30千元。
2.急性傳染病防治業務6,636
  千元，較上年度增列臨時人
  員酬金及一般事務費等經費
  943千元。
3.慢性傳染病防治業務15,906
  千元，較上年度增列結核病
  胸部X光檢查費及臨時人員
  酬金等經費8,390千元。
4.蟲媒傳染病防治業務26,849
  千元，較上年度增列臨時人
  員酬金及人力外包費用等經
  費10,857千元。"
,,13,,,781100,衛生所業務," 	574,815 "," 	529,986 "," 	44,829 ",
,,,3,,781103,各區衛生所業務," 	574,815 "," 	529,986 "," 	44,829 ","本年度預算數較上年度增列
44,829千元，包括：
1.新增辦理衛生所建築物耐震
  補強或拆除工程計畫經費
  7,502千元。
2.六龜區衛生所新建工程計畫
  20,000千元，較上年度增列
  18,800千元。
3.人員維持費519,108千元，
  較上年度核實增列人事費
  19,660千元。
4.衛生所業務相關經費
  26,922千元，較上年度減列
  六年一次大換照及車輛相關
  經費等817千元。
5.購置個人電腦等設備費
  1,283千元，較上年度減列
  316千元。"
,,14,,,784000,預備金, 	400 , 	400 , 	-00 ,
,,,1,,784001,第一預備金, 	400 , 	400 , 	-00 ,仍照上年度預算數編列。
,,,,,,,,,,
