高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
科目,,,,,,,"本年度
 預算數","上年度
 預算數","本 年 度
 與上年度
 比    較",說               明
款,項,目,節,,,名 稱 及 編 號,,,,
11,,,,11000,,環境保護局主管," 	4,482,160 "," 	4,460,806 "," 	21,354 ",
,1,,,11001,,環境保護局," 	3,757,438 "," 	3,683,765 "," 	73,673 ",
,,1,,,790100,一般行政," 	2,472,031 "," 	2,473,163 ","-	1,132 ",
,,,1,,790101,行政管理," 	2,308,618 "," 	2,293,186 "," 	15,432 ","本年度預算數之內容較上年度
之比較如下： 
1.人員維持費2,285,382千元，
  較上年度核實增列人事費
  13,597千元。
2.基本行政工作維持費23,236
  千元，較上年度增列健康檢
  查費及慰問金等經費1,835
  千元。"
,,,2,,790102,業務管理," 	19,811 "," 	18,618 "," 	1,193 ","本年度預算數較上年度增列
1,193千元，包括：
1.一般業務16,336千元，較上
  年度增列廳舍周邊環境清理
  維護等經費652千元。
2.資訊業務2,739千元，較上
  年度增列購買資訊軟硬體設
  備等經費513千元。
3.政風業務138千元，較上年
  度增列購買數位攝影機23
  千元。
4.人事業務302千元，較上年
  度增列退休職員紀念品等經
  費5千元。"
,,,3,,790114,車輛管理及維護," 	143,602 "," 	161,359 ","-	17,757 ","本年度預算數143,602千元，
較上年度減列油料及車輛維護
等經費17,757千元。"
,,2,,,790200,空氣污染防制及噪音振動管制, 	272 , 	272 , 	-00 ,
,,,3,,790203,空氣污染防制及噪音振動管制, 	272 , 	272 , 	-00 ,"本年度預算數272千元，係辦
理噪音管制業務，與上年度同
。"
,,7,,,791600,土壤及水污染管理防治," 	23,554 "," 	35,487 ","-	11,933 ",
,,,1,,791601,土壤及水污染管理防治," 	23,554 "," 	35,487 ","-	11,933 ","本年度預算數較上年度減列
11,933千元，包括：
1.水污染防治6,700千元，較
  上年度增列稽查採樣車租金
  等經費219千元。
2.毒性化學物質災害防救
  1,208千元，較上年度增列毒
  性化學物質運作輔導委辦費
  150千元。
3.飲用水管理1,493千元，較
  上年度減列辦理飲用水稽查
  採樣水質檢測等委辦經費
  50千元。
4.土壤及地下水污染防治
  7,714千元，較上年度減列國
  內旅費等經費50千元。
5.水體環境水質改善及經營管
  理計畫6,071千元，較上年
  度減列流域污染總量管理及
  點源污染削減計畫等經費
  12,121千元。
6.毒性化學物質管理308千元
  ，較上年度減列稽查採樣車
  租金等經費81千元。"
,,9,,,790500,垃圾集運與清潔維護," 	796,150 "," 	747,808 "," 	48,342 ",
