高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
科目,,,,,,,"本年度
 預算數","上年度
 預算數","本 年 度
 與上年度
 比    較",說               明
款,項,目,節,,,名 稱 及 編 號,,,,
12,,,,12000,,地政局主管," 	1,160,230 "," 	1,240,375 ","-	80,145 ",
,1,,,12001,,地政局," 	186,237 "," 	176,233 "," 	10,004 ",
,,1,,,580100,一般行政," 	166,317 "," 	162,064 "," 	4,253 ",
,,,1,,580101,行政管理," 	162,063 "," 	160,919 "," 	1,144 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費158,248千元，
  較上年度核實增列人事費
  1,430千元。
2.基本行政工作維持費3,815
  千元，較上年度減列資訊服
  務費及一般事務費等經費
  286千元。"
,,,2,,580102,業務管理," 	4,254 "," 	1,145 "," 	3,109 ","本年度預算數4,254千元，較
上年度新增主辦全國地政盃經
費3,249千元，並減列加班費
及一般事務費等經費140千元
。"
,,2,,,581000,地籍業務," 	7,861 ", 	961 ," 	6,900 ",
,,,1,,581001,地籍管理," 	7,861 ", 	961 ," 	6,900 ","本年度預算數7,861千元，較
上年度增列代為標售地籍清理
土地作業等經費7,002千元，
及減列地籍清理與管理相關經
費102千元。"
,,3,,,580900,地籍測量業務," 	4,064 "," 	3,385 ", 	679 ,
,,,1,,580901,地籍調查及整理," 	4,064 "," 	3,385 ", 	679 ,"本年度預算數4,064千元，較
上年度增列圖解數化地籍圖整
合建置及都市計畫地形圖套疊
計畫等經費716千元，及減列
控制測量業務相關經費37千元
。"
,,4,,,580300,地價業務," 	1,552 "," 	2,025 ",-	473 ,
,,,4,,580304,地價管理," 	1,552 "," 	2,025 ",-	473 ,"本年度預算數1,552千元，較
上年度減列重新規定地價及地
價評議等業務相關經費473千
元。"
,,5,,,580400,地權業務," 	3,367 "," 	4,117 ",-	750 ,
,,,1,,580401,地權管理," 	3,367 "," 	4,117 ",-	750 ,"本年度預算數3,367千元，較
上年度減列公地管理及三七五
出租耕地租佃管理等業務相關
經費750千元。"
,,6,,,580500,地用業務, 	832 ," 	1,062 ",-	230 ,
,,,1,,580501,非都市土地管理及督導土地開發業務, 	832 ," 	1,062 ",-	230 ,"本年度預算數832千元，較上
年度減列通訊費及國內旅費等
經費230千元。"
,,7,,,580600,徵收業務, 	671 , 	827 ,-	156 ,
,,,1,,580601,公共設施用地取得, 	671 , 	827 ,-	156 ,"本年度預算數671千元，較上
年度減列通訊費及國內旅費等
經費156千元。"
,,13,,,580700,資訊業務," 	1,123 "," 	1,342 ",-	219 ,
,,,1,,580701,地政及地理資訊發展管理," 	1,123 "," 	1,342 ",-	219 ,"本年度預算數1,123千元，較
上年度減列通訊費及國內旅費
等經費219千元。"
,,15,,,584000,預備金, 	450 , 	450 , 	-00 ,
,,,1,,584001,第一預備金, 	450 , 	450 , 	-00 ,仍照上年度預算數編列。
,2,,,12002,,土地開發處," 	299,115 "," 	334,754 ","-	35,639 ",
