高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
科目,,,,,,,"本年度
 預算數","上年度
 預算數","本 年 度
 與上年度
 比    較",說               明
款,項,目,節,,,名 稱 及 編 號,,,,
13,,,,13000,,新聞局主管," 	198,158 "," 	203,204 ","-	5,046 ",
,1,,,13001,,新聞局," 	154,684 "," 	159,238 ","-	4,554 ",
,,1,,,670100,一般行政," 	56,208 "," 	55,404 ", 	804 ,
,,,1,,670101,行政管理," 	56,208 "," 	55,404 ", 	804 ,"本年度預算數之內容與上年度
之比較如下：
1.人員維持費52,336千元，較
  上年度核實增列人事費329
  千元。
2.基本行政工作維持費3,872
  千元，較上年度增列租車費
  、資訊服務費及購置伺服器
  等經費475千元。"
,,2,,,670200,新聞行政," 	21,713 "," 	24,685 ","-	2,972 ",
,,,1,,670201,出版及視聽事業之管理與輔導," 	21,713 "," 	24,685 ","-	2,972 ","本年度預算數較上年度減列
2,972千元，包括：
1.有線電視事業管理與輔導
  19,639千元，較上年度增列
  充實公用頻道相關經費28千
  元。
2.廣播電視事業管理與輔導
  1,637千元，較上年度減列市
  政影像數位典藏計畫3,000千
  元。"
,,3,,,670300,新聞服務," 	60,525 "," 	62,741 ","-	2,216 ",
,,,1,,670301,綜合宣傳," 	60,525 "," 	62,741 ","-	2,216 ","本年度預算數較上年度減列
2,216千元，包括：
1.綜合宣傳8,343千元，較上
  年度增列建置多媒體影像影
  音系統經費56千元。
2.多媒體簡報編修255千元，
  較上年度增列購置媒體播放
  機及麥克風組等設備128千
  元。
3.辦理都市行銷活動5,649千
  元，較上年度減列夏日高雄
  、暖冬高雄活動等經費
   2,400千元。"
,,4,,,670400,行銷出版業務," 	11,678 "," 	11,678 ", 	-00 ,
,,,1,,670401,行銷出版及編印書刊," 	11,678 "," 	11,678 ", 	-00 ,"本年度預算數11,678千元，係
辦理高雄款印製及電子期刊編
輯企劃發行等經費，與上年度
同。"
,,5,,,670500,新聞發佈," 	4,060 "," 	4,230 ",-	170 ,
,,,1,,670501,發佈新聞及媒體服務," 	4,060 "," 	4,230 ",-	170 ,"本年度預算數4,060千元，較
上年度減列新聞發佈之市政行
程拍攝用相機等經費170千元。"
,,6,,,674000,預備金, 	500 , 	500 , 	-00 ,
,,,1,,674001,第一預備金, 	500 , 	500 , 	-00 ,仍照上年度預算數編列。
,2,,,13002,,高雄廣播電臺," 	43,474 "," 	43,966 ",-	492 ,
,,1,,,670100,一般行政," 	38,246 "," 	38,015 ", 	231 ,
,,,1,,670101,行政管理," 	38,246 "," 	38,015 ", 	231 ,"本年度預算數之內容與上年度
之比較如下：
1.人員維持費34,299千元，較
  上年度核實增列人事費220
  千元。
2.基本行政工作維持費3,947
  千元，較上年度增列租車費
  等經費11千元。"
,,2,,,670200,廣播業務," 	5,228 "," 	5,951 ",-	723 ,
,,,1,,670201,編訪管理," 	5,228 "," 	5,951 ",-	723 ,"本年度預算數較上年度減列
723千元，包括：
1.新聞採訪895千元，較上年
  度增列購置筆記型電腦等經
  費25千元。
2.工務管理930千元，較上年
  度增列購置冷氣機等經費17
  千元。
3.節目製作3,403千元，較上
  年度減列購置成音設備及模
  組等經費765千元。"
