高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
科目,,,,,,,"本年度
 預算數","上年度
 預算數","本 年 度
 與上年度
 比    較",說               明
款,項,目,節,,,名 稱 及 編 號,,,,
14,,,,14000,,兵役局主管," 	159,028 "," 	154,578 "," 	4,450 ",
,1,,,14001,,兵役局," 	159,028 "," 	154,578 "," 	4,450 ",
,,1,,,580100,一般行政," 	52,036 "," 	51,336 ", 	700 ,
,,,1,,580101,行政管理," 	52,036 "," 	51,336 ", 	700 ,"本年度預算數之內容與上年度
之比較如下：
1.人員維持費48,641千元，較
　上年度核實增列人事費315千
  元。
2.基本行政工作維持費3,395千
  元，較上年度增列臨時人員
　酬金及國外旅費等385千元。"
,,2,,,580200,軍務行政," 	46,342 "," 	48,227 ","-	1,885 ",
,,,1,,580201,政軍業務," 	46,342 "," 	48,227 ","-	1,885 ","本年度預算數較上年度減列
1,885千元，包括：
1.軍人忠靈祠業務4,163千元
  ，較上年度增列管理維護等
  相關經費151千元。
2.政軍服務41,185千元，較上
  年度減列役男家屬生活扶慰
  助等經費2,036千元。"
,,3,,,580600,兵役動員管理," 	14,456 "," 	14,456 ", 	-00 ,
,,,1,,580601,動員管理業務," 	14,456 "," 	14,456 ", 	-00 ,"本年度預算數14,456千元，係
辦理動員管理及八二三紀念館
業務，與上年度同。"
,,4,,,580300,兵員徵集," 	46,094 "," 	40,459 "," 	5,635 ",
,,,1,,580301,徵兵處理," 	46,094 "," 	40,459 "," 	5,635 ","本年度預算數較上年度增列
5,635千元，包括：
1.役男入營輸送相關經費
  6,648千元，較上年度增列
  1,949千元。
2.役男體複檢費37,900千元，
　較上年度增列4,000千元。
3.臨時人員酬金等經費1,546
  千元，較上年度減列314千
　元。"
,,8,,,584000,預備金, 	100 , 	100 , 	-00 ,
,,,1,,584001,第一預備金, 	100 , 	100 , 	-00 ,仍照上年度預算數編列。
