高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
科目,,,,,,,"本年度
 預算數","上年度
 預算數","本 年 度
 與上年度
 比    較",說               明
款,項,目,節,,,名 稱 及 編 號,,,,
15,,,,15000,,農業局主管," 	2,053,875 "," 	2,009,706 "," 	44,169 ",
,1,,,15001,,農業局," 	1,900,207 "," 	1,859,519 "," 	40,688 ",
,,1,,,680100,一般行政," 	102,871 "," 	102,146 ", 	725 ,
,,,1,,680101,行政管理," 	102,871 "," 	102,146 ", 	725 ,"本年度預算數之內容與上年度
之比較如下：
1.人員維持費97,072千元與上
  年度同。
2.基本行政工作維持費5,799
  千元，較上年度增列辦公廳
  舍維護相關經費等725千元。"
,,2,,,680200,農業業務," 	416,280 "," 	338,750 "," 	77,530 ",
,,,1,,680201,農務管理," 	18,710 "," 	19,707 ",-	997 ,"本年度預算數較上年度減列
997千元，包括：
1.新增雜糧特作產業結構調整
  暨建構產業新價值鏈2,000
  千元。
2.新增輔導設置農業產銷設施
  及分散產區1,000千元。
3.一般業務10,162千元，較上
  年度增列農業區土地地價稅
  等經費116千元。
4.強化農業資訊調查與預警制
  度2,976千元，較上年度減
  列印刷、文具紙張等經費16
  千元。
5.其他業務運作經費2,572千
  元，較上年度減列農民地區
  特產獎勵金等經費4,097千
  元。"
,,,2,,680202,農村與農業發展," 	61,414 "," 	75,681 ","-	14,267 ","本年度預算數較上年度減列
14,267千元，包括：
1.一般業務54,506千元，較上
  年度減列本市重劃區外農路
  改善及維護工程等經費
  12,000千元。
2.休閒農業區分級輔導、強化
  農業休閒農場查核及輔導管
  理6,908千元，較上年度減
  列製作休區體驗之宣傳資料
  等經費1,267千元。
3.上年度辦理發展農業旅遊暨
  主題行銷活動，預算業已編
  竣，所列1,000千元如數減
  列。
"
,,,3,,680203,生態保育管理," 	21,782 "," 	27,120 ","-	5,338 ","本年度預算數較上年度減列
5,338千元，包括：
1.新增農產品溯源安全管理及
  行銷輔導80千元。
2.推動野生動植物合理利用之
  管理2,605千元，較上年度
  增列約僱人員薪資等505千
  元。
3.一般業務7,282千元，較上
  年度減列深水苗圃環境整理
  維護等經費50千元。
4.褐根病防治1,300千元，較
  上年度減列辦理樹木褐根病
  區防治工作等經費300千元。
5.強化植物有害生物防範措施
  4,500千元，較上年度減列
  補助農會、合作社、各區公
  所辦理公共地野鼠毒餌投放
  工資等經費5,163千元。
6.其他業務運作經費1,598千
  元，較上年度減列教育宣導
  活動及物品、器材等經費410
  千元。"
