高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
科目,,,,,,,"本年度
 預算數","上年度
 預算數","本 年 度
 與上年度
 比    較",說               明
款,項,目,節,,,名 稱 及 編 號,,,,
16,,,,16000,,勞工局主管," 	675,035 "," 	4,656,094 ","-	3,981,059 ",
,1,,,16001,,勞工局," 	436,650 "," 	4,395,474 ","-	3,958,824 ",
,,1,,,750100,一般行政," 	103,059 "," 	102,211 ", 	848 ,
,,,1,,750101,行政管理," 	91,838 "," 	90,831 "," 	1,007 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費89,903千元，較
  上年度核實增列人事費
  1,007千元。
2.基本行政工作維持費1,935
  千元與上年度同。"
,,,2,,750102,業務管理," 	11,221 "," 	11,380 ",-	159 ,"本年度預算數11,221千元，較
上年度減列勞工行政中心水電
費、內部雲端網路結合行動應
用軟體APP等經費159千元。"
,,2,,,750300,勞工行政," 	19,262 "," 	25,002 ","-	5,740 ",
,,,4,,750304,勞工行政業務綜合規劃, 	462 , 	582 ,-	120 ,"本年度預算數462千元，較上
年度減列出國考察旅費120千
元。"
,,,5,,750305,提升就業暨保障勞動權益," 	18,800 "," 	24,420 ","-	5,620 ","本年度預算數18,800千元，較
上年度減列專業工作人員酬金
、資訊設備租賃、辦理補助本
市工會、工會聯合組織辦理青
年就業及勞動事務宣導活動等
經費5,620千元。"
,,4,,,750600,勞工組織," 	28,865 "," 	24,365 "," 	4,500 ",
,,,1,,750601,工會輔導、勞工組訓," 	28,865 "," 	24,365 "," 	4,500 ","本年度預算數28,865千元，較
上年度增列補助勞工教育經費
4,500千元。"
,,5,,,750400,勞工福利暨身心障礙者就業," 	30,131 "," 	35,142 ","-	5,011 ",
,,,1,,750401,勞工福利、身心障礙者促進就業," 	30,131 "," 	35,142 ","-	5,011 ","本年度預算數30,131千元，較
上年度減列勞工職災慰問金、
勞工租賃住宅修繕等經費
5,011千元。"
,,6,,,750500,勞動條件," 	19,602 "," 	3,240 "," 	16,362 ",
,,,3,,750503,勞動條件之督導考核," 	19,602 "," 	3,240 "," 	16,362 ","本年度預算數19,602千元，較
上年度新增督促事業單位遵守
勞動條件法令計畫16,362千元
。"
,,7,,,750800,勞資關係," 	5,257 "," 	5,377 ",-	120 ,
,,,1,,750801,促進勞資和諧," 	5,257 "," 	5,377 ",-	120 ,"本年度預算數5,257千元，較
上年度減列勞資爭議調解案件
出席費、審查費等經費120千
元。"
,,9,,,750700,促進國民就業服務," 	1,372 "," 	5,230 ","-	3,858 ",
,,,2,,750702,促進就業輔導、保障就業權益," 	1,372 "," 	5,230 ","-	3,858 ","本年度預算數1,372千元，係
上年度辦理暑期青年工讀職場
體驗計畫預算業已編竣，所列
3,858千元如數減列。"
,,11,,,730800,社會保險," 	228,802 "," 	4,194,607 ","-	3,965,805 ",
