高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
科目,,,,,,,"本年度
 預算數","上年度
 預算數","本 年 度
 與上年度
 比    較",說               明
款,項,目,節,,,名 稱 及 編 號,,,,
17,,,,17000,,捷運工程局主管," 	1,540,345 "," 	1,717,512 ","-	177,167 ",
,1,,,17001,,捷運工程局," 	1,540,345 "," 	1,717,512 ","-	177,167 ",
,,1,,,700100,一般行政," 	35,025 "," 	6,800 "," 	28,225 ",
,,,1,,700101,行政管理," 	35,025 "," 	6,800 "," 	28,225 ","本年度預算數較上年度增列
28,225千元，包括：
1.新增衛武營文化中心捷運連
  通道工程地方配合款25,000
  千元。
2.新增交通部補助辦理高雄環
  狀輕軌捷運交通安全宣導計
  畫5,000千元。
3.補助高雄市境內大專院校、
  國私立高中職一卡通數位學
  生證計畫5,025千元，較上
  年度增列225千元。
4.上年度交通部補助辦理高雄
  環狀輕軌捷運建設周邊增額
  容積及都市計畫檢討規劃案
  ，預算業已編竣，所列
  2,000千元如數減列。"
,,10,,,827500,債務付息," 	160,673 "," 	160,673 ", 	-00 ,
,,,1,,827501,債務付息," 	160,673 "," 	160,673 ", 	-00 ,"本年度預算數160,673千元，
係撥付捷運建設基金債務利息
，與上年度同。"
,,13,,,707800,非營業基金," 	1,344,647 "," 	1,550,039 ","-	205,392 ",
,,,1,,707801,捷運建設基金," 	756,092 "," 	1,199,810 ","-	443,718 ","本年度預算數較上年度減列
443,718千元，包括：
1.紅橘線路網建設計畫
  131,233千元，較上年度
  增列2,702千元。
2.環狀輕軌捷運建設計畫
  624,859千元，較上年度
  減列446,420千元。"
,,,2,,707802,大眾捷運系統土地開發基金," 	588,555 "," 	350,229 "," 	238,326 ","本年度預算數較上年度增列
238,326千元，包括：
1.環狀輕軌沿線周邊地區租稅
  增額收益6,932千元，較上
  年度增列1,820千元。
2.市有土地作價投資大眾捷運
  系統土地開發基金581,623
  千元，較上年度增列
  236,506千元。"
