高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
科目,,,,,,,"本年度
 預算數","上年度
 預算數","本 年 度
 與上年度
 比    較",說               明
款,項,目,節,,,名 稱 及 編 號,,,,
18,,,,18000,,消防局主管," 	2,105,276 "," 	2,069,139 "," 	36,137 ",
,1,,,18001,,消防局," 	2,105,276 "," 	2,069,139 "," 	36,137 ",
,,1,,,580100,一般行政," 	1,970,040 "," 	1,957,547 "," 	12,493 ",
,,,1,,580101,行政管理," 	1,803,942 "," 	1,792,538 "," 	11,404 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費1,792,209千元，
  較上年度核實增列人事費
  10,126千元。
2.基本行政工作維持費11,733
  千元，較上年度增列消防人
  員健康檢查等經費1,278千元
  。"
,,,2,,580102,業務管理," 	166,098 "," 	165,009 "," 	1,089 ","本年度預算數較上年度增列
1,089千元，包括：
1.新增購置80部手提無線電
  2,240千元。
2.新增119資通訊系統汰換案經
  費10,000千元。
3.其他業務運作維持等經費
  73,259千元，較上年度增列
  水電等經費5,862千元。
4.第四大隊暨仁武分隊新建工
  程及辦公設備經費43,349千
  元，較上年度減列6,651千元
  。
5.其他設備及投資經費37,250
  千元，較上年度減列運輸設
  備等經費10,362千元。"
,,2,,,580200,消防業務," 	134,918 "," 	111,274 "," 	23,644 ",
,,,1,,580201,火災預防業務," 	1,912 "," 	2,107 ",-	195 ,"本年度預算數1,912千元，較
上年度減列補助設置住宅用火
災警報器經費195千元。"
,,,2,,580202,災害搶救業務," 	68,941 "," 	40,230 "," 	28,711 ","本年度預算數較上年度增列
28,711千元，包括：
1.新增義消制服更換經費及義
  消、婦宣隊冬服、操作服經
  費19,280千元。
2.新增辦理精進消防救災裝備
  器材等經費16,111千元。
3.救助訓練費1,670千元，較上
  年度增列94千元。
4.補助民間救難團體裝備器材
  費等經費1,650千元，較上年
  度減列6,774千元。"
,,,3,,580203,教育訓練業務," 	2,482 "," 	2,482 ", 	-00 ,"本年度預算數2,482千元，係辦
理教育訓練業務經費，與上年
度同。"
,,,4,,580204,火災調查業務, 	486 , 	316 , 	170 ,"本年度預算數486千元，較上年
度新增氣相層析質譜儀維修經
費170千元。"
,,,5,,580205,救災救護指揮業務," 	10,025 "," 	8,423 "," 	1,602 ","本年度預算數較上年度增列
1,602千元，包括：
1.新增指揮派遣系統網路設備
  維護費1,170千元。
2.新增119電話軟硬體設備因應
  4G語音升級更新經費334千元
  。
3.衛星電話費、119專線線路等
  經費3,574千元，較上年度增
  列117千元。
4.借用無線電站台設施改善經
  費262千元，較上年度減列
  19千元。"
,,,6,,580208,災害管理業務," 	36,743 "," 	41,065 ","-	4,322 ","本年度預算數較上年度減列
4,322千元，包括：
1.災害管理經費14,324千元
  ，較上年度減列災害應變
  中心防救災資(視)訊等設
  備維護保養經費400千元。
2.災害防救經費22,419千元
  ，較上年度減列緊急、災
  害通報專用無線電通訊系
  統第2階段建置等經費
  3,922千元。"
,,,7,,580209,緊急救護業務," 	10,570 "," 	12,608 ","-	2,038 ","本年度預算數較上年度減列
2,038千元，包括：
1.新增購置高單價救護耗材
  5,387千元。
2.高級救護技術員訓練經費
  500千元，較上年度減列
  7,225千元。
3.上年度辦理國外救護考察計
  畫旅費，預算業已編竣，所
  列200千元如數減列。"
,,,8,,580210,危險物品管理業務, 	623 , 	677 ,-	54 ,"本年度預算數623千元，較上年
度減列補助辦理具一氧化碳中
毒潛勢居家遷移或更換燃氣熱
水器經費54千元。
"
,,,9,,580211,大隊救災救護業務," 	3,136 "," 	3,366 ",-	230 ,"本年度預算數3,136千元，較上
年度減列特搜中隊教育訓練費
、各大隊國內旅費230千元。"
,,3,,,584000,預備金, 	318 , 	318 , 	-00 ,
,,,1,,584001,第一預備金, 	318 , 	318 , 	-00 ,仍照上年度預算數編列。
