高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
科目,,,,,,,"本年度
 預算數","上年度
 預算數","本 年 度
 與上年度
 比    較",說               明
款,項,目,節,,,名 稱 及 編 號,,,,
19,,,,19000,,文化局主管," 	1,431,508 "," 	1,897,588 ","-	466,080 ",
,1,,,19001,,文化局," 	674,449 "," 	754,849 ","-	80,400 ",
,,1,,,670100,一般行政," 	205,371 "," 	204,010 "," 	1,361 ",
,,,1,,670101,行政管理," 	205,371 "," 	204,010 "," 	1,361 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費178,758千元，
  較上年度核實減列約僱人員
  2人之人事費1,095千元。
2.基本行政工作維持費26,613
  千元，較上年度增列首長座
  車及垃圾壓縮機等經費
  2,456千元。"
,,2,,,670200,文化建設與活動," 	468,578 "," 	550,339 ","-	81,761 ",
,,,1,,670201,文化政策與環境推展," 	133,246 "," 	117,737 "," 	15,509 ","本年度預算數較上年度增列
15,509千元，包括：
1.補助愛樂文化藝術基金會
  109,000千元，較上年度增
  列12,000千元。
2.辦理其他文化政策與環境推
  展相關業務24,246千元，較
  上年度增列文藝獎及資訊設
  備購置等經費3,509千元。"
,,,3,,670206,文化資產維護與營運," 	112,696 "," 	174,057 ","-	61,361 ","本年度預算數較上年度減列
61,361千元，包括：
1.新增歷史建築九曲堂泰芳商
  會鳳梨罐詰工場活化再利用
  計畫7,500千元。
2.新增村落文化發展計畫
  4,240千元。
3.新增推動客家文化生活環境
  營造計畫1,090千元。
4.新增興辦基礎工業補助計畫
  500千元。
5.文化資產維護與營運及保存
  相關計畫97,926千元，較上
  年度減列保存維護計畫等經
  費57,931千元。
6.推動新故鄉社區營造第二期
  計畫1,440千元，較上年度
  減列7,260千元。
7.上年度辦理地方文化館第二
  期計畫，預算業已編竣，所
  列9,500千元如數減列。"
,,,4,,670203,表演藝術推動," 	36,505 "," 	35,385 "," 	1,120 ","本年度預算數較上年度增列
1,120千元，包括：
1.辦理表演藝術展演與推廣
  22,149千元，較上年度增列
  表演藝術交流等經費3,120
  千元。
2.上年度辦理縣市藝文特色發
  展計畫，預算業已編竣，所
  列2,000千元如數減列。"
,,,5,,670207,文創產業與視覺藝術推展," 	18,941 "," 	29,541 ","-	10,600 ","本年度預算數較上年度減列
10,600千元，包括：
1.新增提供空間予視覺藝術家
  進駐計畫2,000千元。
2.辦理文創產業與視覺藝術推
  展15,341千元，較上年度增
  列小林文物館營運及維護等
  經費2,000千元。
3.推動文化創意產業發展計畫
  1,600千元，較上年度增列
  400千元。
4.上年度辦理小林平埔文物館
  中長程營運管理計畫，預算
  業已編竣，所列15,000千元
  如數減列。"
,,,6,,670208,影視產業推動業務," 	20,780 "," 	20,820 ",-	40 ,"本年度預算數20,780千元，較
上年度減列國外旅費40千元。"
