高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
科目,,,,,,,"本年度
 預算數","上年度
 預算數","本 年 度
 與上年度
 比    較",說               明
款,項,目,節,,,名 稱 及 編 號,,,,
1,,,,01000,,市議會主管," 	869,321 "," 	873,650 ","-	4,329 ",
,1,,,01001,,高雄市議會," 	869,321 "," 	873,650 ","-	4,329 ",
,,1,,,510100,一般行政," 	309,069 "," 	310,030 ",-	961 ,
,,,1,,510103,會務管理," 	183,999 "," 	185,424 ","-	1,425 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費170,060千元較
  上年度核實減列人事費
  1,175千元。
2.基本行政工作維持費13,939
  千元，較上年度減列健檢費
  等經費250千元。"
,,,2,,510104,總務及管理," 	62,000 "," 	61,536 ", 	464 ,"本年度預算數較上年度增列
464千元，包括：
1.台北聯絡處800千元自105年
  度併入本計畫，其上年度預
  算數相對移列。  
2.文書業務6,284千元，較上
  年度增列出版高市議會刊物
  等經費2,700千元。
3.秘書業務660千元，較上年
  度減列駐衛警夏季便服及配
  件經費247千元。
4.總務業務54,256千元，較上
  年度減列保全監視系統服務
  費、租車費、臨時人員工資
  及油料等經費1,989千元。"
,,,5,,510107,公共聯繫," 	63,070 "," 	63,070 ", 	-00 ,"本年度預算數63,070千元，係
辦理國內外賓客聯誼等經費，
與上年度同。
"
,,2,,,510200,議事業務," 	514,659 "," 	516,940 ","-	2,281 ",
,,,1,,510201,業務管理," 	13,614 "," 	13,614 ", 	-00 ,"本年度預算數13,614千元，係
辦理公聽會及活動等經費，與
上年度同。
"
,,,2,,510202,召開大會," 	89,184 "," 	90,007 ",-	823 ,"本年度預算數89,184千元，較
上年度減列加勤費等經費823
千元。"
,,,4,,510204,市政研究與服務," 	398,461 "," 	400,398 ","-	1,937 ","本年度預算數398,461千元，
較上年度減列第二屆新任議員
相關費用等經費1,937千元。"
,,,6,,510206,議事刊物," 	6,763 "," 	6,867 ",-	104 ,"本年度預算數6,763千元，較
上年度減列議事錄及公報印刷等經費104千元。"
,,,7,,510207,法制研究, 	400 , 	400 , 	-00 ,"本年度預算數400千元，係辦
理法制研究等經費，與上年度
同。"
,,,8,,510208,資訊化管理," 	6,237 "," 	5,654 ", 	583 ,"本年度預算數6,237千元，較
上年度增列資訊服務費用等經
費583千元。"
,,3,,,514000,預備金," 	7,000 "," 	7,000 ", 	-00 ,
,,,1,,514001,第一預備金," 	7,000 "," 	7,000 ", 	-00 ,仍照上年度預算數編列。
,,4,,,516100,廳舍興建與充實設備," 	38,593 "," 	39,680 ","-	1,087 ",
,,,1,,516101,廳舍修建與充實設備," 	38,593 "," 	39,680 ","-	1,087 ","本年度編列項目如下：
1.辦公廳舍、庭園等零星修繕
  工程6,000千元。
2.議事廳議事錄影數位化軟硬
  體工程設備費等22,163千元
  。
3.行政用電腦等資訊軟硬體設
  備費4,330千元。
4.圖書室圖書設備、雜項設備
  6,100千元。"
,,,,,,,,,,
,,,,,,,,,,
