高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
科目,,,,,,,"本年度
 預算數","上年度
 預算數","本 年 度
 與上年度
 比    較",說               明
款,項,目,節,,,名 稱 及 編 號,,,,
20,,,,20000,,交通局主管," 	1,976,892 "," 	1,697,151 "," 	279,741 ",
,1,,,20001,,交通局," 	1,966,578 "," 	1,686,835 "," 	279,743 ",
,,1,,,700100,一般行政," 	234,086 "," 	234,303 ",-	217 ,
,,,1,,700101,行政管理," 	234,086 "," 	234,303 ",-	217 ,"本年度預算數之內容與上年度
之比較如下：
1.人員維持費225,264千元，
  較上年度核實減列人事費
  317千元。
2.基本行政工作維持費8,822
  千元，較上年度增列國外旅
  費100千元。
"
,,2,,,700200,交通規劃及管理," 	1,732,252 "," 	1,452,292 "," 	279,960 ",
,,,1,,700201,運輸規劃," 	51,656 "," 	10,465 "," 	41,191 ","本年度預算數51,656千元，較
上年度增列易肇事路口改善計
畫20,000千元、2017生態交通
全球盛典17,250千元及增設國
道高速公路等經費3,941千元
。"
,,,3,,700203,停車場管理," 	2,131 "," 	2,131 ", 	-00 ,"本年度預算數2,131千元，係
辦理停車場管理業務經費，與
上年度同。"
,,,4,,700204,運輸管理," 	1,478,677 "," 	1,263,367 "," 	215,310 ","本年度預算數較上年度增列
215,310千元，包括：
1.運輸業務1,325,338千元，
  較上年度增列辦理公車永續
  幸福計畫等經費102,344千
  元。
2.運輸監理109,689千元，較
  上年度增列公路公共運輸提
  昇計畫等經費105,997千元
  。
3.運輸設施管理43,254千元，
  較上年度增列建置候車亭座
  椅及大型候車亭計畫等經費
  6,969千元。"
,,,5,,700205,交通管制," 	182,687 "," 	158,751 "," 	23,936 ","本年度預算數較上年度增列
23,936千元，包括：
1.交通管制業務67,763千元，
  較上年度增列環島自行車道
  設置導引標誌標線工程等經
  費5,002千元。
2.智慧運輸中心業務114,924
  千元，較上年度增列智慧交
  通基礎建設與應用計畫及號
  誌纜線地下化工程等經費
  18,934千元。"
,,,6,,700206,交通裁罰業務," 	15,798 "," 	16,978 ","-	1,180 ","本年度預算數較上年度減列
1,180千元，包括：
1.新增購置第3代公路監理資
  訊系統終端PC工作站設備
  440千元。
2.上年度辦理配合第3代公路
  監理資訊系統購置相關系統
  及設備，預算業已編竣，所
  列1,620千元如數減列。"
,,,7,,700207,電子計算機作業," 	1,303 ", 	600 , 	703 ,"本年度預算數1,303千元，較
上年度增列網站更新建置等資
訊軟硬體設備703千元。"
,,3,,,704000,預備金, 	240 , 	240 , 	-00 ,
,,,1,,704001,第一預備金, 	240 , 	240 , 	-00 ,仍照上年度預算數編列。
,3,,,20003,,車輛行車事故鑑定委員會," 	10,314 "," 	10,316 ",-	2 ,
,,1,,,700200,交通行政," 	10,314 "," 	10,316 ",-	2 ,
,,,1,,700201,車輛行車事故鑑定業務," 	10,314 "," 	10,316 ",-	2 ,"本年度預算數之內容與上年度
之比較如下：
1.人員維持費7,770千元，較上
  年度核實減列人事費817千元
  。   
2.基本行政工作維持費2,544千
  元，較上年度增列水電及設
  備維護等經費815千元。"
