高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
科目,,,,,,,"本年度
 預算數","上年度
 預算數","本 年 度
 與上年度
 比    較",說               明
款,項,目,節,,,名 稱 及 編 號,,,,
22,,,,22000,,海洋局主管," 	635,147 "," 	551,316 "," 	83,831 ",
,1,,,22001,,海洋局," 	635,147 "," 	551,316 "," 	83,831 ",
,,1,,,680100,一般行政," 	100,836 "," 	101,083 ",-	247 ,
,,,1,,680101,行政管理," 	100,836 "," 	101,083 ",-	247 ,"本年度預算數之內容與上年度
之比較如下：
1.人員維持費95,184千元與上
  年度同。
2.基本行政工作維持費5,652
  千元，較上年度減列漁民服
  務中心地下室停車場修繕工
  程等經費247千元。"
,,2,,,680200,港務行政," 	37,919 "," 	34,287 "," 	3,632 ",
,,,1,,680201,港務行政及管理," 	37,919 "," 	34,287 "," 	3,632 ","本年度預算數較上年度增列
3,632千元，包括：
1.第二類漁港管理維護相關經
  費23,324千元，較上年度增
  列824千元。
2.興達港BOT相關經費5,000千
  元，較上年度增列1,500千
  元。
3.其它業務運作維持經費9,595
  千元，較上年度增列稅捐及
  規費等經費1,308千元。"
,,3,,,710300,海洋行政," 	18,543 "," 	11,428 "," 	7,115 ",
,,,1,,710301,海洋行政及管理," 	5,853 "," 	5,413 ", 	440 ,"本年度預算數5,853千元，較
上年度增列水體環境水質改善
及經營管理計畫等經費440千
元。"
,,,2,,710302,海洋產業輔導及管理," 	12,690 "," 	6,015 "," 	6,675 ","本年度預算數較上年度增列
6,675千元，包括：
1.辦理台灣國際遊艇展相關經
  費9,000千元，較上年度增
  列7,900千元。
2.國外及大陸地區旅費200千
  元，較上年度減列100千元
  。
3.上年度補助辦理高雄市海洋
  跨產業整合創新發展計畫業
  已編竣，所列1,125千元如
  數減列。"
,,4,,,680400,漁業行政," 	110,120 "," 	27,246 "," 	82,874 ",
,,,1,,680401,漁業行政及管理," 	3,282 "," 	2,972 ", 	310 ,"本年度預算數3,282千元，較
上年度新增依漁業法發布辦理
宣導稽查等作業經費140千元
及增列高雄市漁村休閒漁業推
廣計畫170千元。"
,,,2,,680402,漁業輔導及推廣," 	106,838 "," 	24,274 "," 	82,564 ","本年度預算數較上年度增列
82,564千元，包括：
1.辦理岡山魚市場遷建經費
  88,870千元，較上年度增列
  86,616千元。
2.補助漁會及漁業團體4,515
  千元，較上年度增列1,485
  千元。
3.高雄永安區產業升級與行銷
  輔導發展計畫600千元，較
  上年度減列5,400千元。
4.其它業務運作及維持經費
  12,853千元，較上年度減列
  行銷推廣等經費137千元。"
,,5,,,680500,漁業設施," 	133,313 "," 	167,888 ","-	34,575 ",
,,,1,,680501,漁業工程規劃及修建," 	133,313 "," 	167,888 ","-	34,575 ","本年度預算數133,313千元，
較上年度減列34,575千元，包
括：
一、汕尾漁港土方標售及其它
    業務運作相關經費3,653
    千元，較上年度減列空污
    費2,393千元。
二、設備及投資129,660千元，
    較上年度減列32,182千元
    ，本年度編列項目如下：
1.興達港魚市場排水溝及電捲
  門修繕950千元。
2.旗津漁港疏浚工程9,500千元
  。
3.彌陀漁港疏浚工程1,000千元
  。
4.中芸漁港西側護岸修復工程
   6,000千元。
5.彌陀養殖魚塭集中區東西向
  排水工程790千元。
6.永安及新港養殖漁業生產區
  魚塭排水溝渠改善工程
  3,808千元。"
,,,,,,,,,,"7.興達漁港加油碼頭修復工程
  5,000千元。
8.彌陀漁港漁民活動中心室內
  裝修工程2,000千元。
9.岡山魚市場建物規劃設計
  1,130千元。
10.各類漁港設施等零星修繕
   工程費99,482千元。"
,,6,,,740600,漁業救助," 	9,624 "," 	9,624 ", 	-00 ,
,,,1,,740601,漁業災害救助," 	9,624 "," 	9,624 ", 	-00 ,"本年度預算數9,624千元，係
辦理漁船因災害致沉沒、失蹤
及被扣漁船船員家屬救助金核
發，與上年度同。"
,,7,,,750700,漁業福利," 	224,592 "," 	199,560 "," 	25,032 ",
,,,1,,750701,漁民福利," 	224,592 "," 	199,560 "," 	25,032 ","本年度預算數224,592千元，
較上年度增列老年漁民福利津
貼25,032千元。"
,,8,,,684000,預備金, 	200 , 	200 , 	-00 ,
,,,1,,684001,第一預備金, 	200 , 	200 , 	-00 ,仍照上年度預算數編列。
