高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
科目,,,,,,,"本年度
 預算數","上年度
 預算數","本 年 度
 與上年度
 比    較",說               明
款,項,目,節,,,名 稱 及 編 號,,,,
23,,,,23000,,都市發展局主管," 	414,319 "," 	347,833 "," 	66,486 ",
,1,,,23001,,都市發展局," 	414,319 "," 	347,833 "," 	66,486 ",
,,1,,,770100,一般行政," 	168,931 "," 	168,095 ", 	836 ,
,,,1,,770101,行政管理," 	163,647 "," 	163,035 ", 	612 ,"本年度預算數之內容與上年度
之比較如下:
1.人員維持費160,143千元，較
  上年度核實增列人事費472千
  元。
2.基本行政工作維持費3,504千
  元，較上年度增列租車等經
  費140千元。"
,,,2,,770102,業務管理," 	5,284 "," 	5,060 ", 	224 ,"本年度預算數5,284千元，較上年度增列資訊軟硬體設備等經費224千元。"
,,2,,,770200,都市發展業務," 	189,069 "," 	114,773 "," 	74,296 ",
,,,1,,770201,綜合企劃業務," 	1,321 ", 	896 , 	425 ,"本年度預算數1,321千元，較上年度增列都市開發許可執行業務425千元(自105年度併入本計畫，其上年度預算數相對移列)。"
,,,2,,770204,區域發展及審議業務," 	1,501 "," 	1,313 ", 	188 ,"本年度預算數1,501千元，較上年度增列區域計畫委員會外聘委員兼職費及交通費等經費188千元。"
,,,3,,770202,都市規劃業務," 	3,039 "," 	3,119 ",-	80 ,"本年度預算數3,039千元，較上年度減列國外旅費80千元。"
,,,4,,770203,都市設計業務, 	914 , 	783 , 	131 ,本年度預算數914千元，較上年度增列審議委員出席費及國內旅費等經費131千元。
,,,5,,770205,社區營造業務," 	22,907 "," 	29,996 ","-	7,089 ","本年度預算數較上年度減列
7,089千元，包括:
1.建築風貌環境景觀改造暨營
  運輔導實施計畫經費6,000千
  元，較上年度減列4,000千元
  (自105年度併入本計畫，其
  上年度預算數相對移列)。
2.社區規劃研究經費5,368千元
  ，較上年度減列委辦費
  2,000 千元。
3.公共領域營造經費2,539千元
  ，較上年度減列委辦費及國
  內旅費等經費89千元。
4.清淨家園社區營造計畫經費
  9,000千元，較上年度減列補
  助綠美化景觀維護等經費
  1,000千元。"
,,,6,,770206,更新及住宅發展業務," 	145,559 "," 	64,872 "," 	80,687 ","本年度預算數較上年度增列
80,687千元，包括:
1.住宅服務及租金補貼業務
  138,000千元，較上年度增列
  租金補助等經費78,098千元
  。
2.住宅政策業務5,604千元，較
  上年度增列社會住宅先期規
  劃案等經費3,100千元。
3.都市更新機制相關業務415千
  元，較上年度增列地價稅及
  國外旅費147千元。
4.國宅管理維護業務1,257千元
  ，較上年度減列地價稅119千
  元。
5.住宅工程業務經費283千元
  較上年度減列大苓二期中鋼
  支線土地租金539千元。"
,,,7,,770207,都市開發業務," 	13,828 "," 	13,794 ", 	34 ,"本年度預算數較上年度增列34
千元，包括:
1.配合公共工程開闢、市地重
  劃、地籍分割測量樁位測設
  3,360千元，較上年度增列
  1,212千元。
2.高雄市都市計畫鑄鐵蓋樁位
  巡檢暨汰換計畫4,344千元，
  較上年度增列1,344千元。
3.都市開發後續維護工程
  2,716千元，較上年度減列
  2,270千元。
4.都市開發安置1,071千元，較
  上年度減列管理維護區水電
  費252千元。"
,,3,,,774000,預備金, 	409 , 	409 , 	-00 ,
,,,1,,774001,第一預備金, 	409 , 	409 , 	-00 ,仍照上年度預算數編列。
,,7,,,778300,都市發展計畫業務," 	55,910 "," 	64,556 ","-	8,646 ",
,,,1,,778301,都市規劃設計及更新業務," 	55,910 "," 	64,556 ","-	8,646 ","本年度編列項目如下：
1.高雄市部分地區都市計畫通
  盤檢討438千元。
2.104年度高雄市部分地區都
  市計畫通盤檢討4,500千元。
3.變更大坪頂以東地區都市計
  畫（第四次通盤檢討）案
  1,101千元。
4.高雄市旗山、大樹區整合建
  設整體規劃1,900千元。
5.美濃國小湧泉水生活景觀改
  善工程10,000千元。   
6.旗津舢舨基地環境改善工程
  4,000千元。
7.高雄市鳳山區七老爺地區綠
  地系統營造計畫3,800千元。
8.高雄市都市計畫公共設施用
  地專案通盤檢討案15,111千
  元。
9.新興中長程計畫-都市計畫書
  圖重製暨整合應用計畫(103
  年-107年)3,560千元。
10.高雄市智慧國土規劃模式建
   構暨實證2,500千元。"
,,,,,,,,,,"11.高雄市都市設計規劃通盤檢
   討及審議機制精進計畫
   9,000千元。"
