高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
科目,,,,,,,"本年度
 預算數","上年度
 預算數","本 年 度
 與上年度
 比    較",說               明
款,項,目,節,,,名 稱 及 編 號,,,,
24,,,,24000,,法制局主管," 	67,019 "," 	65,696 "," 	1,323 ",
,1,,,24001,,法制局," 	67,019 "," 	65,696 "," 	1,323 ",
,,1,,,530100,一般行政," 	47,719 "," 	46,796 ", 	923 ,
,,,1,,530101,行政管理," 	47,719 "," 	46,796 ", 	923 ,"本年度預算數之內容與上年度
之比較如下:
1.人員維持費45,107千元，較
  上年度核實增列人事費
  298千元。
2.基本行政工作維持費
  2,612千元，較上年度新增
  公務座車1輛605千元及增列
  購置個人電腦20千元。"
,,2,,,530200,訴願審議, 	723 , 	723 , 	-00 ,
,,,1,,530201,審議人民訴願案件, 	723 , 	723 , 	-00 ,"本年度預算數723千元，係辦
理訴願審議相關業務經費，
與上年度同。"
,,3,,,530300,法規業務," 	1,357 ", 	957 , 	400 ,
,,,1,,530301,法規審議管制及編制," 	1,357 ", 	957 , 	400 ,"本年度預算數較上年度增列
400千元，包括:
1.新增出國旅費100千元。
2.新增辦理「高雄市人權自治
  條例」草案諮詢小組等經費
  300千元。"
,,4,,,530400,國家賠償法業務, 	304 , 	304 , 	-00 ,
,,,1,,530401,國家賠償法業務, 	304 , 	304 , 	-00 ,"本年度預算數304千元，係辦
理國家賠償業務等經費，與上
年度同。"
,,6,,,534000,預備金, 	100 , 	100 , 	-00 ,
,,,1,,534001,第一預備金, 	100 , 	100 , 	-00 ,仍照上年度預算數編列。
,,7,,,875300,國家賠償準備," 	16,816 "," 	16,816 ", 	-00 ,
,,,1,,875301,國家賠償準備," 	16,816 "," 	16,816 ", 	-00 ,"本年度預算數16,816千元，係
國家賠償準備，與上年度同。"
