高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
科目,,,,,,,"本年度
 預算數","上年度
 預算數","本 年 度
 與上年度
 比    較",說               明
款,項,目,節,,,名 稱 及 編 號,,,,
25,,,,25000,,觀光局主管," 	472,888 "," 	410,147 "," 	62,741 ",
,1,,,25001,,觀光局," 	472,888 "," 	410,147 "," 	62,741 ",
,,1,,,710100,一般行政," 	134,124 "," 	131,072 "," 	3,052 ",
,,,1,,710101,行政管理," 	134,124 "," 	131,072 "," 	3,052 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費128,831千元，較
  上年度核實增列約聘僱2人等
  人事費2,195千元。
2.基本行政工作維持費5,293千
  元，較上年度新增汰換副首
  長座車605千元，及增列汰換
  個人電腦等經費252千元。"
,,3,,,710300,觀光行銷管理," 	37,916 "," 	27,322 "," 	10,594 ",
,,,1,,710301,觀光行銷管理," 	37,916 "," 	27,322 "," 	10,594 ","本年度預算數較上年度增列
10,594千元，包括：
1.辦理觀光行銷、宣傳及推
  廣事務經費30,961千元，
  較上年度增列10,424千元
  。
2.赴國外辦理觀光推廣、會
  議或參訪等旅費780千元，
  較上年度增列170千元。"
,,5,,,710500,觀光產業管理," 	3,942 "," 	2,494 "," 	1,448 ",
,,,1,,710501,觀光產業管理," 	3,942 "," 	2,494 "," 	1,448 ","本年度預算數3,942千元，較上年度增列旅宿業者稽查及裁罰業務委託等經費1,448千元。"
,,6,,,710600,觀光活動推展," 	44,860 "," 	53,083 ","-	8,223 ",
,,,1,,710601,觀光活動推展," 	44,860 "," 	53,083 ","-	8,223 ","本年度預算數44,860千元，較
上年度減列各類觀光特色推廣
活動或計畫相關經費8,223千
元。"
,,7,,,710700,風景區規劃與建設," 	150,075 "," 	112,038 "," 	38,037 ",
,,,1,,710701,風景區規劃與建設," 	150,075 "," 	112,038 "," 	38,037 ","本年度預算數較上年度增列
38,037千元，包括：
一、一般業務75千元，較上年
    度減列加班費27千元。
二、設備及投資，編列
    150,000千元，較上年度
    增列38,064千元，本年度
    編列項目如下:
1.高雄市六龜區溫泉資源探勘
  計畫20,000千元。
2.104年度愛河水岸璀璨星帶
  整建工程20,000千元。
3.104年度旗津海岸公園整建
  工程20,000千元。
4.104年度自然地景整建工程
  5,000千元。
5.高雄市金獅湖步道及綠美化
  工程10,000千元。
6.小崗山天空步道園區整建工
  程20,000千元。
7.105年度金獅湖風景區整建
  工程15,000千元。
8.105年度各風景點服務設施
  整建工程40,000千元。"
,,8,,,710800,風景區維護與管理," 	68,483 "," 	52,507 "," 	15,976 ",
,,,1,,710801,風景區維護與管理," 	68,483 "," 	52,507 "," 	15,976 ","本年度預算數較上年度增列
15,976千元，包括：
1.新增辦理旗津黑沙相關節目
  活動6,400千元。
2.辦理風景區維護與管理相關
  經費61,006千元，較上年度
  增列清潔、植栽撫育及保全
  等經費9,113千元。
3.補助高雄市野鳥協會1,077
  千元，較上年度增列463千
  元。"
,,20,,,672000,動物園管理," 	33,298 "," 	31,441 "," 	1,857 ",
,,,1,,672001,動物園管理," 	33,298 "," 	31,441 "," 	1,857 ","本年度預算數較上年度增列
1,857千元，包括：
1.辦理保育教育推廣及營運管
  理等經費6,402千元，較上
  年度增列2,027千元。
2.上年度赴大陸辦理小貓熊引
  進業務考察旅費，預算業已
  編竣，所列170千元如數減
  列。"
,,40,,,714000,預備金, 	190 , 	190 , 	-00 ,
,,,1,,714001,第一預備金, 	190 , 	190 , 	-00 ,"仍照上年度預算數編列。"
