高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
科目,,,,,,,"本年度
 預算數","上年度
 預算數","本 年 度
 與上年度
 比    較",說               明
款,項,目,節,,,名 稱 及 編 號,,,,
26,,,,26000,,水利局主管," 	5,700,786 "," 	7,245,578 ","-	1,544,792 ",
,1,,,26001,,水利局," 	5,700,786 "," 	7,245,578 ","-	1,544,792 ",
,,1,,,790100,一般行政," 	301,127 "," 	295,536 "," 	5,591 ",
,,,1,,790101,行政管理," 	300,458 "," 	294,867 "," 	5,591 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費298,486千元，
  較上年度核實增列工2人及
  約聘僱7人之人事費5,591
  千元。
2.基本行政工作維持費1,972
  千元與上年度同。"
,,,2,,790102,業務管理, 	669 , 	669 , 	-00 ,"本年度預算數669千元，係幕
僚單位辦公經費，與上年度
同。"
,,2,,,790200,營運行政," 	618,378 "," 	467,185 "," 	151,193 ",
,,,1,,790201,營運管理," 	618,378 "," 	467,185 "," 	151,193 ","本年度預算數較上年度增列
151,193千元，包括：
1.污水處理廠營運管理經費
  253,020千元，較上年度增
  列水電費等經費29,930千元
  。
2.截流站及匯流站營運管理經
  費34,245千元，較上年度增
  列水電費等經費3,619千元
  。
3.高雄市污水下水道用戶營運
  管理經費38,979千元，較上
  年度增列代徵手續費等經費
  28,618千元。
4.車輛管理及維護經費2,283
  千元，較上年度增列車輛租
  金140千元。
5.水利行政經費8,761千元，
  較上年度增列稅捐及規費等
  經費6,258千元。
6.防洪維護經費164,888千元，
  較上年度增列設施及機械設
  備養護費等經費70,856千元
  。"
,,,,,,,,,,"7.水土保持經費11,280千元，
  較上年度增列委辦費等經費
  7,490千元。
8.各科業務經費11,318千元，
  較上年度增列訴訟及仲裁相
  關經費6,151千元。
9.水源保育與回饋經費9,337
  千元，較上年度增列一般事
  務費等經費131千元。
10.旗美污水處理廠回饋方案經
   費219千元，較上年度減列
   興建期回饋金2,000千元。"
,,3,,,790300,水質保護工程," 	3,204,280 "," 	3,362,807 ","-	158,527 ",
,,,1,,790301,污水系統," 	3,204,280 "," 	3,362,807 ","-	158,527 ","本年度編列項目如下：
1.高雄新市鎮第一期發展區內
  污水下水道修繕暨維護工程
  (污水)54,800千元。
2.愛河上游水質改善工程
  1,868千元。
3.中區污水處理廠各站零星及
  定期檢修等工程28,720千元
　。
4.促進民間參與高雄市鳳山溪
  污水處理廠放流水回收再利
  用BTO計畫7,540千元。
5.中區污水處理廠海域環境監
　測800千元。
6.高雄市楠梓污水下水道系統
  BOT案-政府應辦工程
  173,000千元。
7.污水下水道營運管理水質檢
  測700千元。
8.高雄市楠梓污水下水道系統
  BOT案委託民間建設營運服
  務費945,229千元。"
