高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
科目,,,,,,,"本年度
 預算數","上年度
 預算數","本 年 度
 與上年度
 比    較",說               明
款,項,目,節,,,名 稱 及 編 號,,,,
3,,,,03000,,民政局主管," 	1,700,445 "," 	1,414,383 "," 	286,062 ",
,1,,,03001,,民政局," 	1,114,968 "," 	1,022,968 "," 	92,000 ",
,,1,,,580100,一般行政," 	117,556 "," 	114,919 "," 	2,637 ",
,,,1,,580101,行政管理," 	117,556 "," 	114,919 "," 	2,637 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費104,292千元，較
  上年度核實增列人事費2,788
  千元。
2.基本行政工作維持費13,264
  千元，較上年度減列業務助
  理等經費151千元。"
,,2,,,580200,區政行政," 	31,683 "," 	39,683 ","-	8,000 ",
,,,1,,580201,區政監督業務," 	31,683 "," 	39,683 ","-	8,000 ","本年度預算數31,683千元，較
上年度減列左營萬年季及各區
辦理各項特色活動等經費
8,000千元。"
,,3,,,580300,自治行政," 	77,546 "," 	100,924 ","-	23,378 ",
,,,1,,580301,自治業務及里鄰組織," 	77,546 "," 	100,924 ","-	23,378 ","本年度預算數較上年度減列
23,378千元，包括：
1.台電電協回饋金62,942千元
  ，較上年度減列17,978千元
  。
2.辦理第2屆里長補選經費
  600千元，較上年度減列
  5,400千元。"
,,5,,,670400,宗教禮俗業務," 	9,628 "," 	14,593 ","-	4,965 ",
,,,1,,670401,宗教輔導及禮俗改善," 	9,628 "," 	14,593 ","-	4,965 ","本年度預算數較上年度減列
4,965千元，包括：
1.地價稅及臨時人員酬金經
  費1,084千元，較上年度增
  列35千元。
2.上年度辦理補助宗教團體
  辦理節慶、及傳統民俗、
  心靈淨化等各項活動，預
  算業已編竣，所列5,000千
  元如數減列。"
,,7,,,580700,戶籍行政," 	11,348 "," 	21,216 ","-	9,868 ",
,,,1,,580701,戶籍行政業務," 	11,348 "," 	21,216 ","-	9,868 ","本年度預算數較上年度減列
9,868千元，包括：
1.大型門牌等更新維護經費
  1,020千元，較上年度增列
  1,000千元。
2.印製新式空白身份證(含
  膠膜)及空白戶口名簿、
  戶口名簿袋等經費8,182千
  元，較上年度減列10,818千
  元。  
3.外籍配偶與大陸配偶生活
  適應輔導班經費410,000千
  元，較上年度減列50千元。 "
,,9,,,706100,基層建設," 	242,051 "," 	104,643 "," 	137,408 ",
,,,1,,706101,小型工程," 	242,051 "," 	104,643 "," 	137,408 ","本年度預算數242,051千元，較
上年度增列基層建設小型工程
經費137,408千元。"
,,11,,,580800,戶政事務所業務," 	624,876 "," 	626,710 ","-	1,834 ",
,,,1,,580801,各區戶政事務所業務," 	624,876 "," 	626,710 ","-	1,834 ","本年度預算數較上年度減列
1,834千元，包括：
1.人員維持費578,368千元
  ，較上年度核實減列人事
  費2,684千元。
2.基本行政維持費45,814千
  元，較上年度增列156千元
  。
3.新增辦理門牌脫落、老舊
  辨識不清更新經費694千元
  。"
,,12,,,584000,預備金, 	280 , 	280 , 	-00 ,
,,,1,,584001,第一預備金, 	280 , 	280 , 	-00 ,仍照上年度預算數編列。
,4,,,03004,,殯葬管理處," 	585,477 "," 	391,415 "," 	194,062 ",
,,1,,,580100,一般行政," 	138,019 "," 	128,262 "," 	9,757 ",
,,,1,,580101,行政管理," 	138,019 "," 	128,262 "," 	9,757 ","本年度預算數之內容較上年度
之比較如下：
1.人員維持費91,257千元，較
  上年度核實增列人事費4,815
  千元。
2.基本行政工作維持費46,762
  千元，較上年度增列業務助
  理及提成獎金等經費4,942
  千元。"
,,2,,,580200,殯葬業務," 	447,458 "," 	263,153 "," 	184,305 ",
,,,2,,580203,火葬殯殮管理," 	92,215 "," 	109,906 ","-	17,691 ","本年度預算數較上年度預算數
減列17,691千元，包括：
1.處本部業務85,420千元，較
  上年度減列火化爐暨空污設
  備汰換工程等經費2,971千
  元。
2.仁武區業務4,120 千元，較
  上年度減列仁武分館園區景
  觀改善工程等經費14,720千
  元。"
,,,3,,580204,設施企劃管理," 	1,673 "," 	104,517 ","-	102,844 ","本年度預算數較上年度減列
102,844千元，包括：
1.新增委請會計師協助辦理審
  查業者BOO案件費用200千元
  。
2.新增杉林區第四公墓暨納骨
  塔新設工程委託規劃設計勞
  務經費1,256千元。
3.上年度辦理旗津生命紀念興
  建工程，預算業已編竣所列
  104,300千元如數減列。"
,,,4,,580205,殯儀服務管理, 	369 , 	369 , 	-00 ,"本年度預算數369千元，係辦
理殯儀服務業務經費，與上年
度同。"
,,,5,,580202,多元墓政管理," 	353,201 "," 	48,361 "," 	304,840 ","本年度預算數較上年度預算數
增列304,840千元，包括：
1.新增阿蓮區第一公墓遷葬及
  補償經費39,000千元。
2.新增覆鼎金公墓遷葬及補償
  經費262,461千元。
3.新增公立納骨塔櫃位及周邊
  修繕工程18,000千元。  
4.新增清明節祭祖為民服務軟
  體系統150千元。
5.公墓道路、樹灑葬區擋土牆
  及納骨塔設改善工程9,446
  千元，較上年度增列6,649
  千元。
6.減列設施保險等相關經費
  920千元。
7.上年度辦理大樹區小坪公墓
  遷葬與補償作業及茄萣區第
  一公墓改建工程，預算業已
  編竣，所列20,500千元如數
  減列。"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
