高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
科目,,,,,,,"本年度
 預算數","上年度
 預算數","本 年 度
 與上年度
 比    較",說               明
款,項,目,節,,,名 稱 及 編 號,,,,
4,,,,04000,,財政局主管," 	3,303,374 "," 	3,337,010 ","-	33,636 ",
,1,,,04001,,財政局," 	2,549,920 "," 	2,586,903 ","-	36,983 ",
,,1,,,600100,一般行政," 	113,883 "," 	111,761 "," 	2,122 ",
,,,1,,600101,行政管理," 	113,883 "," 	111,761 "," 	2,122 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費110,191千元，
  較上年度核實增列人事費
  2,391千元。
2.基本行政工作維持費3,692
  千元，較上年度減列國外旅
  費及購置個人電腦等經費
  269千元。"
,,2,,,600200,財務行政," 	2,240 "," 	1,440 ", 	800 ,
,,,5,,600205,財務行政," 	2,240 "," 	1,440 ", 	800 ,"本年度預算數2,240千元，較
上年度增列財政業務聯繫會報
相關經費800千元。"
,,3,,,600400,稅務金融管理, 	826 , 	826 , 	-00 ,
,,,6,,600406,稅務金融管理, 	826 , 	826 , 	-00 ,"本年度預算數826千元，係辦
理基層金融機構及各項稅捐稽
徵督導等經費，與上年度同。"
,,5,,,600800,菸酒管理," 	31,822 "," 	34,983 ","-	3,161 ",
,,,1,,600801,菸酒管理," 	31,822 "," 	34,983 ","-	3,161 ","本年度預算數31,822千元，較
上年度新增售電回饋金支應水
電費25千元，及減列私劣菸品
查緝經費3,186千元。"
,,6,,,600500,公用財產管理," 	3,560 "," 	3,560 ", 	-00 ,
,,,1,,600501,公用財產管理," 	3,560 "," 	3,560 ", 	-00 ,"本年度預算數3,560千元，係
辦理各項公用財產之管理、監
督及利用等經費，與上年度同
。   "
,,7,,,600600,非公用財產管理," 	127,987 "," 	87,134 "," 	40,853 ",
,,,1,,600601,非公用財產管理," 	127,987 "," 	87,134 "," 	40,853 ","本年度預算數較上年度增列
40,853千元，包括：
1.稅捐及規費119,885千元，
  較上年度增列40,000千元。
2.委外催收作業費2,000千元
  ，較上年度增列500千元。
3.市有土地維護管理、拆除違
  建、廢棄物清理等相關費用
  2,000千元，較上年度增列
  1,000千元。
4.上年度辦理本市市有非公用
  土地及新草衙地區委外清查
  作業，預算業已編竣，所列
  647千元如數減列。"
,,8,,,600900,非公用財產開發," 	8,592 "," 	2,937 "," 	5,655 ",
,,,1,,600901,非公用財產開發," 	8,592 "," 	2,937 "," 	5,655 ","本年度預算數較上年度增列
5,655千元，包括：
1.新增高雄捷運鳳山國中站周
  邊地區都市更新規劃委外作
  業經費2,720千元。
2.新增本市前鎮區瑞南段5地
  號市有土地，參與第75期市
  地重劃，重劃後應繳差額地
  價款2,935千元。"
,,9,,,831500,市債經理," 	12,568 "," 	16,771 ","-	4,203 ",
