高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
科目,,,,,,,"本年度
 預算數","上年度
 預算數","本 年 度
 與上年度
 比    較",說               明
款,項,目,節,,,名 稱 及 編 號,,,,
5,,,,05000,,教育局主管," 	42,823,593 "," 	42,332,745 "," 	490,848 ",
,1,,,05001,,教育局," 	42,191,239 "," 	41,655,536 "," 	535,703 ",
,,9,,,651000,教育發展基金," 	42,191,049 "," 	41,655,346 "," 	535,703 ",
,,,1,,651001,教育局暨所屬學校分基金," 	42,123,784 "," 	41,588,081 "," 	535,703 ","本年度預算數較上年度增列
535,703千元，包括：
1.教學及行政業務、工程設備
  等經費3,258,101千元，較
  上年度增列236,177千元。
2.兒童托育津貼310,525千元
  ，較上年度增列5,625千元
  。
3.幼兒教育券285,000千元，
  較上年度增列120,000千元
  。
4.正式員額薪資、退休撫卹金
  及福利費、年終慰問金與各
  項補助等用人費用
  37,429,772千元，較上年度
  增列222,353千元。
5.身心障礙者特殊教育及低收
  入戶子女減免學雜費、公私
  立高中職(進修學校)、私立
  國中等學雜費488,136千元
  ，較上年度減列48,452千元
  。"
,,,3,,651003,市立空中大學分基金," 	67,265 "," 	67,265 ", 	-00 ,"本年度預算數67,265千元，係
市府補助各項教學及行政業務
、各項工程設施設備所需經費
，與上年度同。"
,,16,,,674000,預備金, 	190 , 	190 , 	-00 ,
,,,1,,674001,第一預備金, 	190 , 	190 , 	-00 ,仍照上年度預算數編列。
,4,,,05004,,體育處," 	561,811 "," 	609,671 ","-	47,860 ",
,,1,,,670100,一般行政," 	75,811 "," 	75,333 ", 	478 ,
,,,1,,670101,行政管理," 	75,811 "," 	75,333 ", 	478 ,"本年度預算數之內容與上年度
之比較如下：
1.人員維持費75,046千元，較
  上年度核實增列人事費
  497千元。
2.基本行政工作維持費765千
　元，較上年度減列車輛養護
　等經費19千元。"
,,2,,,670200,管理及設備," 	359,813 "," 	470,754 ","-	110,941 ",
,,,1,,670201,管理與活動," 	359,813 "," 	470,754 ","-	110,941 ","本年度預算數較上年度減列
110,941千元，包括：
1.一般業務174,323千元，較
  上年度增列土地租金、地價
  稅、環境委外清潔等經費
  20,561千元。
2.各類體育活動或專案計畫
  88,922千元，較上年度減列
  各項體育優勝獎金及2013第
  1屆世界運動舞蹈大會等經
  費43,239千元。
3.世運主場館營運管理36,568
  千元，較上年度增列人事等
  經費2千元。
4.104年度全國運動會相關經
  費60,000千元，較上年度減
  列田徑器材採購、代表隊培
  訓及活動規劃費等經費
  88,265千元。"
,,3,,,676100,廳舍興建與充實設備," 	126,187 "," 	63,584 "," 	62,603 ",
,,,1,,676101,廳舍修建," 	125,777 "," 	63,354 "," 	62,423 ","本年度編列項目如下：
1.各場、館、池、活動中心等
  場地零星整修工程9,625千
  元。 
2.各場館池建築物公共安全及
  消防設備申報工程1,000千
  元。
3.楠梓自由車場整修工程費
  14,000千元。
4.全國運動會比賽場地整修工
  程24,000千元。
5.高雄國家體育場蒙多跑道重
  舖整建計畫經費30,000千元
  。
6.澄清湖棒球場LED全彩計分
  板更新計畫42,850千元。
7.鳳西羽球館消防設備整修工
  程4,302千元。"
,,,2,,676104,充實設備, 	410 , 	230 , 	180 ,"本年度編列項目如下:
1.個人電腦220千元。
2.網路設備(交換、路由器、
  防火牆等)90千元。
3.網頁功能及版面更新維護
  100千元。
"
,5,,,05005,,社會教育館," 	48,784 "," 	47,104 "," 	1,680 ",
,,1,,,670100,一般行政," 	33,024 "," 	32,409 ", 	615 ,
,,,1,,670101,行政管理," 	33,024 "," 	32,409 ", 	615 ,"本年度預算數之內容與上年度
之比較如下：  
1.人員維持費31,461千元，較
  上年度核實增列人事費208
  千元。
2.基本行政工作維持費1,563
  千元，較上年度增列青少年
  文化體育中心保全員服務費
  等經費407千元。"
,,2,,,670200,活動與管理," 	15,760 "," 	14,695 "," 	1,065 ",
,,,1,,670201,業務管理," 	11,015 "," 	9,950 "," 	1,065 ","本年度預算數較上年度增列
1,065千元，包括：
1.一般業務241千元，較上年
  度減列各項業務用物品等經
  費28千元。
2.青少年文化體育活動中心業
  務10,528千元，較上年度增
  列機關、學校或團體租用場
  地水電費、租車費及購置電
  腦教室電腦等經費1,638千
  元，及減列公務車汰換529
  千元。
3.駐衛警管理246千元，較上
  年度減列駐衛警冬、夏季常
  便服及用品等經費16千元。
"
,,,2,,670202,各項活動," 	4,745 "," 	4,745 ", 	-00 ,"本年度預算數4,745千元，係
辦理教育推廣班及社教站藝文
展演補助等經費，與上年度同
。 
"
,6,,,05006,,家庭教育中心," 	21,759 "," 	20,434 "," 	1,325 ",
,,1,,,670100,一般行政," 	8,610 "," 	8,575 ", 	35 ,
,,,1,,670101,行政管理," 	8,610 "," 	8,575 ", 	35 ,"本年度預算數之內容與上年度
之比較如下:
1.人員維持費7,108千元，較
  上年度核實增列人事費37千
  元。
2.基本行政工作維持費1,502
  千元，較上年度減列購置個
  人電腦經費2千元。"
,,2,,,670200,活動與管理," 	13,149 "," 	11,859 "," 	1,290 ",
,,,1,,670201,業務管理, 	534 , 	534 , 	-00 ,"本年度預算數534千元，係辦
理家庭教育計畫經費，與上年
度同。"
,,,2,,670202,各項活動," 	12,615 "," 	11,325 "," 	1,290 ","本年度預算數12,615千元，較
上年度增列教育部補助辦理推
展家庭教育各項活動計畫經費
1,290千元。"
,,,,,,,,,,
