高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
科目,,,,,,,"本年度
 預算數","上年度
 預算數","本 年 度
 與上年度
 比    較",說               明
款,項,目,節,,,名 稱 及 編 號,,,,
6,,,,06000,,經濟發展局主管," 	1,064,935 "," 	732,766 "," 	332,169 ",
,1,,,06001,,經濟發展局," 	1,064,935 "," 	732,766 "," 	332,169 ","
"
,,1,,,710100,一般行政," 	198,795 "," 	201,990 ","-	3,195 ",
,,,1,,710101,行政管理," 	198,795 "," 	201,990 ","-	3,195 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費193,225千元，
  較上年度核實減列人事費51
  千元。
2.基本行政工作維持費5,570
  千元，較上年度減列一般業
  務之協助推動「M9501煉製
  事業部重油轉化工場投資計
  畫」等經費3,144千元。"
,,2,,,710400,產業服務," 	63,374 "," 	75,612 ","-	12,238 ",
,,,1,,710401,產業服務與經營輔導管理," 	63,374 "," 	75,612 ","-	12,238 ","本年度預算數較上年度減列
12,238千元，包括：
1.新增辦理高雄自造者空間計
  晝9,000千元。
2.一般業務8,374千元，較上
  年度減列自由經濟示範區政
  策下高屏發展MIT製造研究
  計畫及重點產業知識庫建置
  、人才盤點與推估等經費
  2,738千元。
3.地方產業創新研發推動計畫
  31,000千元，較上年度減列
  獎勵金等經費13,500千元。
4.數位內容創意中心經費
  10,000千元，較上年度減列
  「M9501煉製事業部重油轉
  化工場投資計畫」等經費
  5,000千元。"
,,3,,,720200,工業行政," 	35,279 "," 	31,732 "," 	3,547 ",
,,,1,,720201,工業行政及管理," 	35,279 "," 	31,732 "," 	3,547 ","本年度預算數較上年度增列
3,547千元，包括：
1.一般業務28,664千元，較
  上年度增列岡山本洲產業園
  區污水處理廠民間自提ROT 
  案前置作業、因應氣候變遷
  衝擊高雄市產業暨工業用水
  調適行動計畫及工廠空間地
  理資訊系統改版及功能增修
  等經費3,007千元。
2.未登記工廠稽查暨臨登工廠
  輔導計畫6,615千元，較上
  年度增列委外稽查等經費
  540千元。"
,,4,,,710300,商業行政," 	78,856 "," 	72,517 "," 	6,339 ",
,,,1,,710301,商業行政及管理," 	78,856 "," 	72,517 "," 	6,339 ","本年度預算數較上年度增列
6,339千元，包括：
1.新增辦理三鳳中街環境改善
  案2,500千元。
2.高雄市特色商店街區輔導再
  造及轉型計畫18,500千元，
  較上年度增列2,000千元。
3.爭取關鍵性會展活動在高雄
  計畫45,500千元，較上年度
  增列7,000千元。
4.其他業務運作經費12,356千
  元，較上年度減列稅捐、資
  料庫更新及國外旅費等經費
  838千元。
5.上年度辦理工商展覽中心結
  構補強及設施維護工程，預
  算業已編竣，所列4,323千
  元如數減列。"
,,6,,,720300,公民營事業," 	350,583 "," 	33,880 "," 	316,703 ",
,,,1,,720301,公民營事業管理," 	350,583 "," 	33,880 "," 	316,703 ","本年度預算數較上年度增列
316,703千元，包括：
1.一般業務343,794千元，較
  上年度增列智慧節電計畫、
  自來水延管工程、夏月節電
  推廣計畫及自來水用戶設備
  外線補助計畫等經費
  316,876千元。
2.土石採取管理業務1,681千
  元，較上年度增列臨時人員
  酬金等經費16千元。
3.石油設施設置管理業務
  2,220千元，較上年度減列
  文具紙張及租金等經費189
  千元。"
,,14,,,711400,招商行政," 	177,442 "," 	136,464 "," 	40,978 ",
,,,1,,711401,招商行政及管理," 	177,442 "," 	136,464 "," 	40,978 ","本年度預算數較上年度增列
40,978千元，包括：
1.補助高雄市促進產業發展基
  金139,000千元，較上年度
  增列39,000千元。
2.亞洲新灣區專案招商計畫
  6,000千元，較上年度增列
  1,000千元。
3.數位內容產業扶植計畫
  8,000千元，較上年度增列
  1,000千元。
4.其他業務運作經費8,442千
  元，較上年度減列國外旅費
  等經費22千元。"
,,15,,,711500,市場管理," 	160,323 "," 	180,288 ","-	19,965 ",
,,,3,,711503,零售市場及攤販管理," 	160,323 "," 	180,288 ","-	19,965 ","本年度預算數較上年度減列
19,965千元，包括：
1.市場督導行政104,613千元
  ，較上年度減列民有市場暨
  攤集場補助款、推廣市集美
  食計畫及稅捐、臨時人員等
  經費12,186千元。
2.市場興建工程30,000千元，
  較上年度增列國宅基金代為
  興建陽明等6超市代墊款
  5,000千元。
3.市場整建工程20,554千元，
  較上年度減列各公有零售市
  場設施改善9,579千元。
4.促參業務1,800千元，較上
  年度減列委託專業顧問等經
  費3,200千元。"
,,40,,,714000,預備金, 	283 , 	283 , 	-00 ,
,,,1,,714001,第一預備金, 	283 , 	283 , 	-00 ,"仍照上年度預算數編列。
"
