高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
科目,,,,,,,"本年度
 預算數","上年度
 預算數","本 年 度
 與上年度
 比    較",說               明
款,項,目,節,,,名 稱 及 編 號,,,,
7,,,,07000,,工務局主管," 	7,765,128 "," 	5,771,742 "," 	1,993,386 ",
,1,,,07001,,工務局," 	1,732,879 "," 	1,258,316 "," 	474,563 ",
,,1,,,700100,一般行政," 	220,327 "," 	235,146 ","-	14,819 ",
,,,1,,700101,行政管理," 	216,253 "," 	230,657 ","-	14,404 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費212,653千元，
  較上年度核實減列人事費
  14,404千元。
2.基本行政工作維持費3,600
  千元與上年度同。"
,,,2,,700102,業務管理," 	4,074 "," 	4,489 ",-	415 ,"本年度預算數4,074千元，較
上年度減列資訊業務經費415
千元。"
,,2,,,701000,工程企劃行政," 	34,219 "," 	18,618 "," 	15,601 ",
,,,2,,701002,共同管道管理," 	34,219 "," 	18,618 "," 	15,601 ","本年度預算數34,219千元，較
上年度增列民族路共同管道管
理經費15,601千元。"
,,5,,,700500,建築管理," 	48,969 "," 	77,144 ","-	28,175 ",
,,,4,,700504,建照審查及施工公安使用管理," 	48,969 "," 	77,144 ","-	28,175 ","本年度預算數較上年度減列
28,175千元，包括：
1.建造執照施工計畫書諮詢經
  費1,500千元，較上年度增
  列委辦費500千元。
2.推動無障礙友善環境改造計
  畫經費19,481千元，較上年
  度增列騎樓整平工程施作等
  經費10,781千元。
3.建照審查施工管理及建築物
  公安使用管理經費22,587千
  元，較上年度減列內政部營
  建署補助及本市私有空地綠
  美化地價稅補助等經費
  23,249千元。
4.上年度辦理無障礙基金業務
  ，所列207千元如數減列。
5.上年度高雄綠光屋頂計畫、
  高雄厝建築活化改造計畫預
  算業已編竣，所列16,000千
  元如數減列。"
,,11,,,704000,預備金, 	100 , 	100 , 	-00 ,
,,,1,,704001,第一預備金, 	100 , 	100 , 	-00 ,仍照上年度預算數編列。
,,13,,,706700,工程企劃行政管理," 	1,429,264 "," 	927,308 "," 	501,956 ",
,,,1,,706701,工程企劃業務管理及策略規劃," 	1,429,264 "," 	927,308 "," 	501,956 ","本年度預算數較上年度增列
501,956千元，包括：
1.工程企劃業務管理經費
  3,634千元，較上年度增列
  濕地企劃業務等經費500千
  元。
2.台鐵捷運化-高雄市鐵路地
  下化計畫(配合款)經費
  1,326,000千元，較上年度
  增列517,000千元。
3.市區道路及重劃區既有管線
  建置計畫經費3,458千元，
  較上年度減列內政部營建署
  補助及配合款等經費12,234
  千元。
4.歸還台電公司路面修復費及
  行政作業費3,290千元，較
  上年度減列310千元。
5.配合市區纜線下地工程分攤
  經費27,000千元，較上年度
  減列3,000千元。"
,2,,,07002,,新建工程處," 	2,748,913 "," 	1,583,667 "," 	1,165,246 ",
,,1,,,700100,一般行政," 	159,793 "," 	162,744 ","-	2,951 ",
