高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
科目,,,,,,,"本年度
 預算數","上年度
 預算數","本 年 度
 與上年度
 比    較",說               明
款,項,目,節,,,名 稱 及 編 號,,,,
8,,,,08000,,社會局主管," 	14,449,648 "," 	14,253,390 "," 	196,258 ",
,1,,,08001,,社會局," 	14,052,485 "," 	13,873,244 "," 	179,241 ",
,,1,,,750100,一般行政," 	245,075 "," 	243,841 "," 	1,234 ",
,,,1,,750101,行政管理," 	243,985 "," 	242,751 "," 	1,234 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費226,130千元，
  較上年度核實增列人事費
  1,331千元。
2.基本行政工作維持費17,855
　千元，較上年度減列臨時人
  員酬金等經費97千元。"
,,,2,,750124,業務管理," 	1,090 "," 	1,090 ", 	-00 ,"本年度預算數1,090千元，係
辦理本局之會計、人事、政風
等相關業務經費，與上年度同。"
,,3,,,751200,各項慶典, 	669 , 	669 , 	-00 ,
,,,1,,751201,各項慶典活動, 	669 , 	669 , 	-00 ,"本年度預算數669千元，係辦
理各項慶典及各種紀念日活動
經費，與上年度同。"
,,4,,,751300,人民團體組織," 	3,713 "," 	3,753 ",-	40 ,
,,,1,,751301,人民團體輔導評鑑暨補助," 	3,713 "," 	3,753 ",-	40 ,"本年度預算數3,713千元，較上
年度減列輔導勸募活動計畫經
費40千元。(自105年度起併入
本計畫，上年度預算數相對移
列)"
,,5,,,750700,合作行政, 	530 , 	550 ,-	20 ,
,,,1,,750701,推行合作業務, 	530 , 	550 ,-	20 ,"本年度預算數530千元，較上
年度減列一般事務費20千元。"
,,6,,,750600,社區發展," 	5,338 "," 	12,298 ","-	6,960 ",
,,,2,,750602,社區發展," 	5,338 "," 	12,298 ","-	6,960 ","本年度預算數較上年度減列
6,960千元，包括：
1.新增辦理高雄市社區願景培
  力中心計畫1,780千元。
2.舉辦社區發展活動相關費用
  510千元，較上年度增列60
  千元。
3.上年度辦理杉林區月眉永久
  屋基地Ｄ區多功能服務集會
  中心計畫，預算業已編竣，
  所列3,800千元如數減列。
4.上年度補助社區發展協會、
　團體等社區活動場所充實設
  備暨維護修繕工程，預算業
  已編竣，所列5,000千元如
  數減列。"
,,7,,,731000,社會保險," 	2,550,035 "," 	2,216,985 "," 	333,050 ",
,,,1,,731001,社會保險," 	2,550,035 "," 	2,216,985 "," 	333,050 ","本年度預算數較上年度增列
333,050千元，包括：
1.全民健康保險補助
  1,876,737千元，較上年度
  增列低收入戶及老人健保補
  助等經費328,050千元。
2.身心障礙者現金給付保險補
  助220,000千元，較上年度
  增列5,000千元。"
,,8,,,760600,國民就業," 	8,721 "," 	8,721 ", 	-00 ,
,,,1,,760601,國民就業," 	8,721 "," 	8,721 ", 	-00 ,"本年度預算數8,721千元，係
辦理以工代賑經費，與上年度
同。"
,,9,,,740500,社會救助," 	1,960,249 "," 	2,067,803 ","-	107,554 ",
