高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
科目,,,,,,,"本年度
 預算數","上年度
 預算數","本 年 度
 與上年度
 比    較",說               明
款,項,目,節,,,名 稱 及 編 號,,,,
9,,,,09000,,警察局主管," 	9,752,120 "," 	9,845,326 ","-	93,206 ",
,1,,,09001,,警察局," 	9,752,120 "," 	9,845,326 ","-	93,206 ",
,,1,,,630100,一般行政," 	712,152 "," 	626,232 "," 	85,920 ",
,,,1,,630101,行政管理," 	697,942 "," 	611,267 "," 	86,675 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費687,977千元，
  較上年度核實增列人事費
  85,710千元。
2.基本行政工作維持費9,965
  千元，較上年度增列辦公費
  等經費965千元。"
,,,8,,630125,公關業務, 	946 , 	746 , 	200 ,"本年度預算數946千元，較上
年度增列預防犯罪宣導行銷暨
警民聯繫等經費200千元。"
,,,9,,630126,資訊業務," 	9,109 "," 	10,395 ","-	1,286 ","本年度預算數9,109千元，較
上年度增列資安骨幹設備區域
聯防監控網路系統維護費280
千元，及減列資訊軟硬體設備
等經費1,566千元。"
,,,11,,630128,業務行政," 	4,155 "," 	3,824 ", 	331 ,"本年度預算數4,155千元，較
上年度增列秘書與法規業務經
費415千元，及減列人事業務
經費84千元。"
,,2,,,630200,行政業務," 	171,201 "," 	341,400 ","-	170,199 ",
,,,1,,630201,業務管理," 	133,520 "," 	302,803 ","-	169,283 ","本年度預算數較上年度減列
169,283千元，包括：
1.車輛相關經費8,385千元，
  較上年度增列12千元。
2.運輸設備42,282千元，較上
  年度增列10,000千元。
3.公共建設及辦公環境充實改
  善計畫30,000千元，較上年
  度增列5,000千元。
4.其他設備及投資3,337千元
  ，較上年度減列1,733千元。
5.上年度辦理六龜分局辦公大
  樓、左營分局暨文自派出所
  新建工程預算業已編竣，所
  列182,562千元如數減列。"
,,,2,,630202,行政警察業務," 	37,411 "," 	38,327 ",-	916 ,"本年度預算數37,411千元，較
上年度減列義警(社區輔警)服
裝及配件經費916千元。"
,,,3,,630203,外事警察業務, 	270 , 	270 , 	-00 ,"本年度預算數270千元，係辦
理各國駐華使領館與官員保護
、外國團體安全維護等經費，
與上年度同。"
,,3,,,630300,保安業務," 	47,473 "," 	59,339 ","-	11,866 ",
,,,1,,630301,保安警察業務," 	6,511 "," 	6,511 ", 	-00 ,"本年度預算數6,511千元，係
辦理保安警備措施規劃與督導
、軍事動員與後備軍人召集之
協助等經費，與上年度同。"
,,,3,,630303,犯罪預防業務," 	40,962 "," 	52,828 ","-	11,866 ","本年度預算數較上年度減列
11,866千元，包括：
1.新增替代役男寢具費、實施
  專業訓練及管理等相關經費
  843千元。
2.新增辦理汰換使用逾8年重
  要路口監視器6,035千元。
3.區里錄影監視系統建置費
  1,329千元，較上年度增列
  550千元。
4.監錄系統維護費1,500千元
  ，較上年度減列19,294千元
  並移至分局業務-各分局業
  務工作計畫項下。 "
